"referência","nome","sku","atributo 1","atributo 2","atributo 3","quantidade","preço","variante","peso","largura","comprimento","altura","tags","código de barras"
"BF79","Rolô Sem Bandô - Rosa - Tecido Poliester","BF79150100","150cm","100cm","Rosa | #c9afb2","9999999","418.04","Rolô Sem Bandô - Rosa - Tecido Poliester","1","150","150","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"BF79","Rolô Sem Bandô - Rosa - Tecido Poliester","BF79155100","155cm","100cm","Rosa | #c9afb2","9999999","427.05","Rolô Sem Bandô - Rosa - Tecido Poliester","1","155","155","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"BF79","Rolô Sem Bandô - Rosa - Tecido Poliester","BF79160100","160cm","100cm","Rosa | #c9afb2","9999999","436.07","Rolô Sem Bandô - Rosa - Tecido Poliester","1","160","160","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"BF79","Rolô Sem Bandô - Rosa - Tecido Poliester","BF79165100","165cm","100cm","Rosa | #c9afb2","9999999","445.09","Rolô Sem Bandô - Rosa - Tecido Poliester","1","165","165","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"BF79","Rolô Sem Bandô - Rosa - Tecido Poliester","BF79170100","170cm","100cm","Rosa | #c9afb2","9999999","454.10","Rolô Sem Bandô - Rosa - Tecido Poliester","1","170","170","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"BF79","Rolô Sem Bandô - Rosa - Tecido Poliester","BF79175100","175cm","100cm","Rosa | #c9afb2","9999999","463.12","Rolô Sem Bandô - Rosa - Tecido Poliester","1","175","175","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"BF79","Rolô Sem Bandô - Rosa - Tecido Poliester","BF79180100","180cm","100cm","Rosa | #c9afb2","9999999","472.14","Rolô Sem Bandô - Rosa - Tecido Poliester","1","180","180","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"BF79","Rolô Sem Bandô - Rosa - Tecido Poliester","BF79185100","185cm","100cm","Rosa | #c9afb2","9999999","481.15","Rolô Sem Bandô - Rosa - Tecido Poliester","1","185","185","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"BF79","Rolô Sem Bandô - Rosa - Tecido Poliester","BF79190100","190cm","100cm","Rosa | #c9afb2","9999999","490.17","Rolô Sem Bandô - Rosa - Tecido Poliester","1","190","190","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"BF79","Rolô Sem Bandô - Rosa - Tecido Poliester","BF79195100","195cm","100cm","Rosa | #c9afb2","9999999","499.19","Rolô Sem Bandô - Rosa - Tecido Poliester","1","195","195","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"BF79","Rolô Sem Bandô - Rosa - Tecido Poliester","BF79200100","200cm","100cm","Rosa | #c9afb2","9999999","508.20","Rolô Sem Bandô - Rosa - Tecido Poliester","1","200","200","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"BF79","Rolô Sem Bandô - Rosa - Tecido Poliester","BF79205100","205cm","100cm","Rosa | #c9afb2","9999999","517.22","Rolô Sem Bandô - Rosa - Tecido Poliester","1","205","205","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"BF79","Rolô Sem Bandô - Rosa - Tecido Poliester","BF79210100","210cm","100cm","Rosa | #c9afb2","9999999","526.23","Rolô Sem Bandô - Rosa - Tecido Poliester","1","210","210","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"BF79","Rolô Sem Bandô - Rosa - Tecido Poliester","BF79215100","215cm","100cm","Rosa | #c9afb2","9999999","535.25","Rolô Sem Bandô - Rosa - Tecido Poliester","1","215","215","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"BF79","Rolô Sem Bandô - Rosa - Tecido Poliester","BF79220100","220cm","100cm","Rosa | #c9afb2","9999999","544.27","Rolô Sem Bandô - Rosa - Tecido Poliester","1","220","220","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"BF79","Rolô Sem Bandô - Rosa - Tecido Poliester","BF79225100","225cm","100cm","Rosa | #c9afb2","9999999","553.28","Rolô Sem Bandô - Rosa - Tecido Poliester","1","225","225","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"BF79","Rolô Sem Bandô - Rosa - Tecido Poliester","BF79230100","230cm","100cm","Rosa | #c9afb2","9999999","562.30","Rolô Sem Bandô - Rosa - Tecido Poliester","1","230","230","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"BF79","Rolô Sem Bandô - Rosa - Tecido Poliester","BF79235100","235cm","100cm","Rosa | #c9afb2","9999999","571.32","Rolô Sem Bandô - Rosa - Tecido Poliester","1","235","235","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"BF79","Rolô Sem Bandô - Rosa - Tecido Poliester","BF79240100","240cm","100cm","Rosa | #c9afb2","9999999","580.33","Rolô Sem Bandô - Rosa - Tecido Poliester","1","240","240","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"BF79","Rolô Sem Bandô - Rosa - Tecido Poliester","BF79245100","245cm","100cm","Rosa | #c9afb2","9999999","589.35","Rolô Sem Bandô - Rosa - Tecido Poliester","1","245","245","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"BF79","Rolô Sem Bandô - Rosa - Tecido Poliester","BF79250100","250cm","100cm","Rosa | #c9afb2","9999999","598.37","Rolô Sem Bandô - Rosa - Tecido Poliester","1","250","250","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"BF79","Rolô Sem Bandô - Rosa - Tecido Poliester","BF79255100","255cm","100cm","Rosa | #c9afb2","9999999","607.38","Rolô Sem Bandô - Rosa - Tecido Poliester","1","255","255","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"BF79","Rolô Sem Bandô - Rosa - Tecido Poliester","BF79260100","260cm","100cm","Rosa | #c9afb2","9999999","616.40","Rolô Sem Bandô - Rosa - Tecido Poliester","1","260","260","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"BF79","Rolô Sem Bandô - Rosa - Tecido Poliester","BF79265100","265cm","100cm","Rosa | #c9afb2","9999999","625.41","Rolô Sem Bandô - Rosa - Tecido Poliester","1","265","265","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"BF79","Rolô Sem Bandô - Rosa - Tecido Poliester","BF79270100","270cm","100cm","Rosa | #c9afb2","9999999","634.43","Rolô Sem Bandô - Rosa - Tecido Poliester","1","270","270","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"BF79","Rolô Sem Bandô - Rosa - Tecido Poliester","BF79275100","275cm","100cm","Rosa | #c9afb2","9999999","643.45","Rolô Sem Bandô - Rosa - Tecido Poliester","1","275","275","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"BF79","Rolô Sem Bandô - Rosa - Tecido Poliester","BF79280100","280cm","100cm","Rosa | #c9afb2","9999999","652.46","Rolô Sem Bandô - Rosa - Tecido Poliester","1","280","280","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"BF79","Rolô Sem Bandô - Rosa - Tecido Poliester","BF79285100","285cm","100cm","Rosa | #c9afb2","9999999","661.48","Rolô Sem Bandô - Rosa - Tecido Poliester","1","285","285","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"BF79","Rolô Sem Bandô - Rosa - Tecido Poliester","BF79290100","290cm","100cm","Rosa | #c9afb2","9999999","670.50","Rolô Sem Bandô - Rosa - Tecido Poliester","1","290","290","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"BF79","Rolô Sem Bandô - Rosa - Tecido Poliester","BF79295100","295cm","100cm","Rosa | #c9afb2","9999999","679.51","Rolô Sem Bandô - Rosa - Tecido Poliester","1","295","295","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"BF79","Rolô Sem Bandô - Rosa - Tecido Poliester","BF79300100","300cm","100cm","Rosa | #c9afb2","9999999","688.53","Rolô Sem Bandô - Rosa - Tecido Poliester","1","300","300","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"BF79","Rolô Sem Bandô - Rosa - Tecido Poliester","BF79305100","305cm","100cm","Rosa | #c9afb2","9999999","697.55","Rolô Sem Bandô - Rosa - Tecido Poliester","1","305","305","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"BF79","Rolô Sem Bandô - Rosa - Tecido Poliester","BF79310100","310cm","100cm","Rosa | #c9afb2","9999999","706.56","Rolô Sem Bandô - Rosa - Tecido Poliester","1","310","310","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"BF79","Rolô Sem Bandô - Rosa - Tecido Poliester","BF79315100","315cm","100cm","Rosa | #c9afb2","9999999","715.58","Rolô Sem Bandô - Rosa - Tecido Poliester","1","315","315","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"BF79","Rolô Sem Bandô - Rosa - Tecido Poliester","BF79320100","320cm","100cm","Rosa | #c9afb2","9999999","724.60","Rolô Sem Bandô - Rosa - Tecido Poliester","1","320","320","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"BF79","Rolô Sem Bandô - Rosa - Tecido Poliester","BF79325100","325cm","100cm","Rosa | #c9afb2","9999999","733.61","Rolô Sem Bandô - Rosa - Tecido Poliester","1","325","325","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"BF79","Rolô Sem Bandô - Rosa - Tecido Poliester","BF79330100","330cm","100cm","Rosa | #c9afb2","9999999","742.63","Rolô Sem Bandô - Rosa - Tecido Poliester","1","330","330","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"BF79","Rolô Sem Bandô - Rosa - Tecido Poliester","BF79335100","335cm","100cm","Rosa | #c9afb2","9999999","751.64","Rolô Sem Bandô - Rosa - Tecido Poliester","1","335","335","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"BF79","Rolô Sem Bandô - Rosa - Tecido Poliester","BF79340100","340cm","100cm","Rosa | #c9afb2","9999999","760.66","Rolô Sem Bandô - Rosa - Tecido Poliester","1","340","340","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"BF79","Rolô Sem Bandô - Rosa - Tecido Poliester","BF79345100","345cm","100cm","Rosa | #c9afb2","9999999","769.68","Rolô Sem Bandô - Rosa - Tecido Poliester","1","345","345","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"BF79","Rolô Sem Bandô - Rosa - Tecido Poliester","BF79350100","350cm","100cm","Rosa | #c9afb2","9999999","778.69","Rolô Sem Bandô - Rosa - Tecido Poliester","1","350","350","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"BF79","Rolô Sem Bandô - Rosa - Tecido Poliester","BF79355100","355cm","100cm","Rosa | #c9afb2","9999999","787.71","Rolô Sem Bandô - Rosa - Tecido Poliester","1","355","355","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
