"referência","nome","sku","atributo 1","atributo 2","atributo 3","quantidade","preço","variante","peso","largura","comprimento","altura","tags","código de barras"
"LB56CB","Rolô com Bandô - Branco - Tecido Poliester","LB56CB100100","100cm","100cm","Branco | #FFFFFF","9999999","549.19","Rolô com Bandô - Branco - Tecido Poliester","1","100","100","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB56CB","Rolô com Bandô - Branco - Tecido Poliester","LB56CB105100","105cm","100cm","Branco | #FFFFFF","9999999","555.74","Rolô com Bandô - Branco - Tecido Poliester","1","105","105","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB56CB","Rolô com Bandô - Branco - Tecido Poliester","LB56CB110100","110cm","100cm","Branco | #FFFFFF","9999999","562.30","Rolô com Bandô - Branco - Tecido Poliester","1","110","110","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB56CB","Rolô com Bandô - Branco - Tecido Poliester","LB56CB115100","115cm","100cm","Branco | #FFFFFF","9999999","568.86","Rolô com Bandô - Branco - Tecido Poliester","1","115","115","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB56CB","Rolô com Bandô - Branco - Tecido Poliester","LB56CB120100","120cm","100cm","Branco | #FFFFFF","9999999","575.41","Rolô com Bandô - Branco - Tecido Poliester","1","120","120","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB56CB","Rolô com Bandô - Branco - Tecido Poliester","LB56CB125100","125cm","100cm","Branco | #FFFFFF","9999999","581.97","Rolô com Bandô - Branco - Tecido Poliester","1","125","125","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB56CB","Rolô com Bandô - Branco - Tecido Poliester","LB56CB130100","130cm","100cm","Branco | #FFFFFF","9999999","588.53","Rolô com Bandô - Branco - Tecido Poliester","1","130","130","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB56CB","Rolô com Bandô - Branco - Tecido Poliester","LB56CB135100","135cm","100cm","Branco | #FFFFFF","9999999","595.09","Rolô com Bandô - Branco - Tecido Poliester","1","135","135","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB56CB","Rolô com Bandô - Branco - Tecido Poliester","LB56CB140100","140cm","100cm","Branco | #FFFFFF","9999999","601.64","Rolô com Bandô - Branco - Tecido Poliester","1","140","140","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB56CB","Rolô com Bandô - Branco - Tecido Poliester","LB56CB145100","145cm","100cm","Branco | #FFFFFF","9999999","608.20","Rolô com Bandô - Branco - Tecido Poliester","1","145","145","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
