"referência","nome","sku","atributo 1","atributo 2","atributo 3","quantidade","preço","variante","peso","largura","comprimento","altura","tags","código de barras"
"RMIC160","Romana - Bege - Tecido Poliester","RMIC160150100","150cm","100cm","Bege | #eed9c4","9999999","467.22","Romana - Bege - Tecido Poliester","1","150","150","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"RMIC160","Romana - Bege - Tecido Poliester","RMIC160155100","155cm","100cm","Bege | #eed9c4","9999999","477.87","Romana - Bege - Tecido Poliester","1","155","155","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"RMIC160","Romana - Bege - Tecido Poliester","RMIC160160100","160cm","100cm","Bege | #eed9c4","9999999","488.53","Romana - Bege - Tecido Poliester","1","160","160","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"RMIC160","Romana - Bege - Tecido Poliester","RMIC160165100","165cm","100cm","Bege | #eed9c4","9999999","499.19","Romana - Bege - Tecido Poliester","1","165","165","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"RMIC160","Romana - Bege - Tecido Poliester","RMIC160170100","170cm","100cm","Bege | #eed9c4","9999999","509.84","Romana - Bege - Tecido Poliester","1","170","170","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"RMIC160","Romana - Bege - Tecido Poliester","RMIC160175100","175cm","100cm","Bege | #eed9c4","9999999","520.50","Romana - Bege - Tecido Poliester","1","175","175","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"RMIC160","Romana - Bege - Tecido Poliester","RMIC160180100","180cm","100cm","Bege | #eed9c4","9999999","531.15","Romana - Bege - Tecido Poliester","1","180","180","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"RMIC160","Romana - Bege - Tecido Poliester","RMIC160185100","185cm","100cm","Bege | #eed9c4","9999999","541.81","Romana - Bege - Tecido Poliester","1","185","185","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"RMIC160","Romana - Bege - Tecido Poliester","RMIC160190100","190cm","100cm","Bege | #eed9c4","9999999","552.46","Romana - Bege - Tecido Poliester","1","190","190","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"RMIC160","Romana - Bege - Tecido Poliester","RMIC160195100","195cm","100cm","Bege | #eed9c4","9999999","563.12","Romana - Bege - Tecido Poliester","1","195","195","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"RMIC160","Romana - Bege - Tecido Poliester","RMIC160200100","200cm","100cm","Bege | #eed9c4","9999999","573.78","Romana - Bege - Tecido Poliester","1","200","200","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"RMIC160","Romana - Bege - Tecido Poliester","RMIC160205100","205cm","100cm","Bege | #eed9c4","9999999","584.43","Romana - Bege - Tecido Poliester","1","205","205","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"RMIC160","Romana - Bege - Tecido Poliester","RMIC160210100","210cm","100cm","Bege | #eed9c4","9999999","595.09","Romana - Bege - Tecido Poliester","1","210","210","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"RMIC160","Romana - Bege - Tecido Poliester","RMIC160215100","215cm","100cm","Bege | #eed9c4","9999999","605.74","Romana - Bege - Tecido Poliester","1","215","215","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"RMIC160","Romana - Bege - Tecido Poliester","RMIC160220100","220cm","100cm","Bege | #eed9c4","9999999","616.40","Romana - Bege - Tecido Poliester","1","220","220","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"RMIC160","Romana - Bege - Tecido Poliester","RMIC160225100","225cm","100cm","Bege | #eed9c4","9999999","627.05","Romana - Bege - Tecido Poliester","1","225","225","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"RMIC160","Romana - Bege - Tecido Poliester","RMIC160230100","230cm","100cm","Bege | #eed9c4","9999999","637.71","Romana - Bege - Tecido Poliester","1","230","230","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"RMIC160","Romana - Bege - Tecido Poliester","RMIC160235100","235cm","100cm","Bege | #eed9c4","9999999","648.37","Romana - Bege - Tecido Poliester","1","235","235","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"RMIC160","Romana - Bege - Tecido Poliester","RMIC160240100","240cm","100cm","Bege | #eed9c4","9999999","659.02","Romana - Bege - Tecido Poliester","1","240","240","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
