"referência","nome","sku","atributo 1","atributo 2","atributo 3","quantidade","preço","variante","peso","largura","comprimento","altura","tags","código de barras"
"BD-BRC","Bandô - Branco","BD-BRC100","100cm","8cm","Branco | #FFFFFF","9999999","120.00","Cor: Branco - Largura: 100cm - Altura: 8cm","1","100","100","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BD-BRC","Bandô - Branco","BD-BRC101","101cm","8cm","Branco | #FFFFFF","9999999","121.20","Cor: Branco - Largura: 101cm - Altura: 8cm","1","101","101","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BD-BRC","Bandô - Branco","BD-BRC102","102cm","8cm","Branco | #FFFFFF","9999999","122.40","Cor: Branco - Largura: 102cm - Altura: 8cm","1","102","102","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BD-BRC","Bandô - Branco","BD-BRC103","103cm","8cm","Branco | #FFFFFF","9999999","123.60","Cor: Branco - Largura: 103cm - Altura: 8cm","1","103","103","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BD-BRC","Bandô - Branco","BD-BRC104","104cm","8cm","Branco | #FFFFFF","9999999","124.80","Cor: Branco - Largura: 104cm - Altura: 8cm","1","104","104","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BD-BRC","Bandô - Branco","BD-BRC105","105cm","8cm","Branco | #FFFFFF","9999999","126.00","Cor: Branco - Largura: 105cm - Altura: 8cm","1","105","105","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BD-BRC","Bandô - Branco","BD-BRC106","106cm","8cm","Branco | #FFFFFF","9999999","127.20","Cor: Branco - Largura: 106cm - Altura: 8cm","1","106","106","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BD-BRC","Bandô - Branco","BD-BRC107","107cm","8cm","Branco | #FFFFFF","9999999","128.40","Cor: Branco - Largura: 107cm - Altura: 8cm","1","107","107","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BD-BRC","Bandô - Branco","BD-BRC108","108cm","8cm","Branco | #FFFFFF","9999999","129.60","Cor: Branco - Largura: 108cm - Altura: 8cm","1","108","108","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BD-BRC","Bandô - Branco","BD-BRC109","109cm","8cm","Branco | #FFFFFF","9999999","130.80","Cor: Branco - Largura: 109cm - Altura: 8cm","1","109","109","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BD-BRC","Bandô - Branco","BD-BRC110","110cm","8cm","Branco | #FFFFFF","9999999","132.00","Cor: Branco - Largura: 110cm - Altura: 8cm","1","110","110","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BD-BRC","Bandô - Branco","BD-BRC111","111cm","8cm","Branco | #FFFFFF","9999999","133.20","Cor: Branco - Largura: 111cm - Altura: 8cm","1","111","111","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BD-BRC","Bandô - Branco","BD-BRC112","112cm","8cm","Branco | #FFFFFF","9999999","134.40","Cor: Branco - Largura: 112cm - Altura: 8cm","1","112","112","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BD-BRC","Bandô - Branco","BD-BRC113","113cm","8cm","Branco | #FFFFFF","9999999","135.60","Cor: Branco - Largura: 113cm - Altura: 8cm","1","113","113","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
