"referência","nome","sku","atributo 1","atributo 2","atributo 3","quantidade","preço","variante","peso","largura","comprimento","altura","tags","código de barras"
"BBC","Bandô - Branco Cinzento","BBC60","60cm","8cm","Branco Cinzento | #FAFDED","9999999","10.00","Cor: Branco Cinzento - Largura: 60cm - Altura: 8cm","1","60","60","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BBC","Bandô - Branco Cinzento","BBC65","65cm","8cm","Branco Cinzento | #FAFDED","9999999","10.00","Cor: Branco Cinzento - Largura: 65cm - Altura: 8cm","1","65","65","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BBC","Bandô - Branco Cinzento","BBC70","70cm","8cm","Branco Cinzento | #FAFDED","9999999","10.00","Cor: Branco Cinzento - Largura: 70cm - Altura: 8cm","1","70","70","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BBC","Bandô - Branco Cinzento","BBC75","75cm","8cm","Branco Cinzento | #FAFDED","9999999","10.00","Cor: Branco Cinzento - Largura: 75cm - Altura: 8cm","1","75","75","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BBC","Bandô - Branco Cinzento","BBC80","80cm","8cm","Branco Cinzento | #FAFDED","9999999","10.00","Cor: Branco Cinzento - Largura: 80cm - Altura: 8cm","1","80","80","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BBC","Bandô - Branco Cinzento","BBC85","85cm","8cm","Branco Cinzento | #FAFDED","9999999","10.00","Cor: Branco Cinzento - Largura: 85cm - Altura: 8cm","1","85","85","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BBC","Bandô - Branco Cinzento","BBC90","90cm","8cm","Branco Cinzento | #FAFDED","9999999","10.00","Cor: Branco Cinzento - Largura: 90cm - Altura: 8cm","1","90","90","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BBC","Bandô - Branco Cinzento","BBC95","95cm","8cm","Branco Cinzento | #FAFDED","9999999","10.00","Cor: Branco Cinzento - Largura: 95cm - Altura: 8cm","1","95","95","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BBC","Bandô - Branco Cinzento","BBC100","100cm","8cm","Branco Cinzento | #FAFDED","9999999","10.00","Cor: Branco Cinzento - Largura: 100cm - Altura: 8cm","1","100","100","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BBC","Bandô - Branco Cinzento","BBC105","105cm","8cm","Branco Cinzento | #FAFDED","9999999","10.50","Cor: Branco Cinzento - Largura: 105cm - Altura: 8cm","1","105","105","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BBC","Bandô - Branco Cinzento","BBC110","110cm","8cm","Branco Cinzento | #FAFDED","9999999","11.00","Cor: Branco Cinzento - Largura: 110cm - Altura: 8cm","1","110","110","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BBC","Bandô - Branco Cinzento","BBC115","115cm","8cm","Branco Cinzento | #FAFDED","9999999","11.50","Cor: Branco Cinzento - Largura: 115cm - Altura: 8cm","1","115","115","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BBC","Bandô - Branco Cinzento","BBC120","120cm","8cm","Branco Cinzento | #FAFDED","9999999","12.00","Cor: Branco Cinzento - Largura: 120cm - Altura: 8cm","1","120","120","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BBC","Bandô - Branco Cinzento","BBC125","125cm","8cm","Branco Cinzento | #FAFDED","9999999","12.50","Cor: Branco Cinzento - Largura: 125cm - Altura: 8cm","1","125","125","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BBC","Bandô - Branco Cinzento","BBC130","130cm","8cm","Branco Cinzento | #FAFDED","9999999","13.00","Cor: Branco Cinzento - Largura: 130cm - Altura: 8cm","1","130","130","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BBC","Bandô - Branco Cinzento","BBC135","135cm","8cm","Branco Cinzento | #FAFDED","9999999","13.50","Cor: Branco Cinzento - Largura: 135cm - Altura: 8cm","1","135","135","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BBC","Bandô - Branco Cinzento","BBC140","140cm","8cm","Branco Cinzento | #FAFDED","9999999","14.00","Cor: Branco Cinzento - Largura: 140cm - Altura: 8cm","1","140","140","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BBC","Bandô - Branco Cinzento","BBC145","145cm","8cm","Branco Cinzento | #FAFDED","9999999","14.50","Cor: Branco Cinzento - Largura: 145cm - Altura: 8cm","1","145","145","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BBC","Bandô - Branco Cinzento","BBC150","150cm","8cm","Branco Cinzento | #FAFDED","9999999","15.00","Cor: Branco Cinzento - Largura: 150cm - Altura: 8cm","1","150","150","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BBC","Bandô - Branco Cinzento","BBC155","155cm","8cm","Branco Cinzento | #FAFDED","9999999","15.50","Cor: Branco Cinzento - Largura: 155cm - Altura: 8cm","1","155","155","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BBC","Bandô - Branco Cinzento","BBC160","160cm","8cm","Branco Cinzento | #FAFDED","9999999","16.00","Cor: Branco Cinzento - Largura: 160cm - Altura: 8cm","1","160","160","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BBC","Bandô - Branco Cinzento","BBC165","165cm","8cm","Branco Cinzento | #FAFDED","9999999","16.50","Cor: Branco Cinzento - Largura: 165cm - Altura: 8cm","1","165","165","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BBC","Bandô - Branco Cinzento","BBC170","170cm","8cm","Branco Cinzento | #FAFDED","9999999","17.00","Cor: Branco Cinzento - Largura: 170cm - Altura: 8cm","1","170","170","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BBC","Bandô - Branco Cinzento","BBC175","175cm","8cm","Branco Cinzento | #FAFDED","9999999","17.50","Cor: Branco Cinzento - Largura: 175cm - Altura: 8cm","1","175","175","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BBC","Bandô - Branco Cinzento","BBC180","180cm","8cm","Branco Cinzento | #FAFDED","9999999","18.00","Cor: Branco Cinzento - Largura: 180cm - Altura: 8cm","1","180","180","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BBC","Bandô - Branco Cinzento","BBC185","185cm","8cm","Branco Cinzento | #FAFDED","9999999","18.50","Cor: Branco Cinzento - Largura: 185cm - Altura: 8cm","1","185","185","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BBC","Bandô - Branco Cinzento","BBC190","190cm","8cm","Branco Cinzento | #FAFDED","9999999","19.00","Cor: Branco Cinzento - Largura: 190cm - Altura: 8cm","1","190","190","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BBC","Bandô - Branco Cinzento","BBC195","195cm","8cm","Branco Cinzento | #FAFDED","9999999","19.50","Cor: Branco Cinzento - Largura: 195cm - Altura: 8cm","1","195","195","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BBC","Bandô - Branco Cinzento","BBC200","200cm","8cm","Branco Cinzento | #FAFDED","9999999","20.00","Cor: Branco Cinzento - Largura: 200cm - Altura: 8cm","1","200","200","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BBC","Bandô - Branco Cinzento","BBC205","205cm","8cm","Branco Cinzento | #FAFDED","9999999","20.50","Cor: Branco Cinzento - Largura: 205cm - Altura: 8cm","1","205","205","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
