"referência","nome","sku","atributo 1","atributo 2","atributo 3","quantidade","preço","variante","peso","largura","comprimento","altura","tags","código de barras"
"BANDOCINZA","Bandô - Cinza","BANDOCINZA100","100cm","8cm","Cinza | #CCC","9999999","125.00","Cor: Cinza - Largura: 100cm - Altura: 8cm","1","100","100","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BANDOCINZA","Bandô - Cinza","BANDOCINZA101","101cm","8cm","Cinza | #CCC","9999999","126.25","Cor: Cinza - Largura: 101cm - Altura: 8cm","1","101","101","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BANDOCINZA","Bandô - Cinza","BANDOCINZA102","102cm","8cm","Cinza | #CCC","9999999","127.50","Cor: Cinza - Largura: 102cm - Altura: 8cm","1","102","102","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BANDOCINZA","Bandô - Cinza","BANDOCINZA103","103cm","8cm","Cinza | #CCC","9999999","128.75","Cor: Cinza - Largura: 103cm - Altura: 8cm","1","103","103","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BANDOCINZA","Bandô - Cinza","BANDOCINZA104","104cm","8cm","Cinza | #CCC","9999999","130.00","Cor: Cinza - Largura: 104cm - Altura: 8cm","1","104","104","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BANDOCINZA","Bandô - Cinza","BANDOCINZA105","105cm","8cm","Cinza | #CCC","9999999","131.25","Cor: Cinza - Largura: 105cm - Altura: 8cm","1","105","105","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BANDOCINZA","Bandô - Cinza","BANDOCINZA106","106cm","8cm","Cinza | #CCC","9999999","132.50","Cor: Cinza - Largura: 106cm - Altura: 8cm","1","106","106","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BANDOCINZA","Bandô - Cinza","BANDOCINZA107","107cm","8cm","Cinza | #CCC","9999999","133.75","Cor: Cinza - Largura: 107cm - Altura: 8cm","1","107","107","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BANDOCINZA","Bandô - Cinza","BANDOCINZA108","108cm","8cm","Cinza | #CCC","9999999","135.00","Cor: Cinza - Largura: 108cm - Altura: 8cm","1","108","108","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BANDOCINZA","Bandô - Cinza","BANDOCINZA109","109cm","8cm","Cinza | #CCC","9999999","136.25","Cor: Cinza - Largura: 109cm - Altura: 8cm","1","109","109","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BANDOCINZA","Bandô - Cinza","BANDOCINZA110","110cm","8cm","Cinza | #CCC","9999999","137.50","Cor: Cinza - Largura: 110cm - Altura: 8cm","1","110","110","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BANDOCINZA","Bandô - Cinza","BANDOCINZA111","111cm","8cm","Cinza | #CCC","9999999","138.75","Cor: Cinza - Largura: 111cm - Altura: 8cm","1","111","111","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BANDOCINZA","Bandô - Cinza","BANDOCINZA112","112cm","8cm","Cinza | #CCC","9999999","140.00","Cor: Cinza - Largura: 112cm - Altura: 8cm","1","112","112","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BANDOCINZA","Bandô - Cinza","BANDOCINZA113","113cm","8cm","Cinza | #CCC","9999999","141.25","Cor: Cinza - Largura: 113cm - Altura: 8cm","1","113","113","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BANDOCINZA","Bandô - Cinza","BANDOCINZA114","114cm","8cm","Cinza | #CCC","9999999","142.50","Cor: Cinza - Largura: 114cm - Altura: 8cm","1","114","114","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BANDOCINZA","Bandô - Cinza","BANDOCINZA115","115cm","8cm","Cinza | #CCC","9999999","143.75","Cor: Cinza - Largura: 115cm - Altura: 8cm","1","115","115","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BANDOCINZA","Bandô - Cinza","BANDOCINZA116","116cm","8cm","Cinza | #CCC","9999999","145.00","Cor: Cinza - Largura: 116cm - Altura: 8cm","1","116","116","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BANDOCINZA","Bandô - Cinza","BANDOCINZA117","117cm","8cm","Cinza | #CCC","9999999","146.25","Cor: Cinza - Largura: 117cm - Altura: 8cm","1","117","117","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BANDOCINZA","Bandô - Cinza","BANDOCINZA118","118cm","8cm","Cinza | #CCC","9999999","147.50","Cor: Cinza - Largura: 118cm - Altura: 8cm","1","118","118","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
