"referência","nome","sku","atributo 1","atributo 2","atributo 3","quantidade","preço","variante","peso","largura","comprimento","altura","tags","código de barras"
"BANDOPRETO","Bandô - Preto","BANDOPRETO100","100cm","8cm","Preto | #000000","9999999","125.00","Cor: Preto - Largura: 100cm - Altura: 8cm","1","100","100","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BANDOPRETO","Bandô - Preto","BANDOPRETO101","101cm","8cm","Preto | #000000","9999999","126.25","Cor: Preto - Largura: 101cm - Altura: 8cm","1","101","101","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BANDOPRETO","Bandô - Preto","BANDOPRETO102","102cm","8cm","Preto | #000000","9999999","127.50","Cor: Preto - Largura: 102cm - Altura: 8cm","1","102","102","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BANDOPRETO","Bandô - Preto","BANDOPRETO103","103cm","8cm","Preto | #000000","9999999","128.75","Cor: Preto - Largura: 103cm - Altura: 8cm","1","103","103","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BANDOPRETO","Bandô - Preto","BANDOPRETO104","104cm","8cm","Preto | #000000","9999999","130.00","Cor: Preto - Largura: 104cm - Altura: 8cm","1","104","104","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BANDOPRETO","Bandô - Preto","BANDOPRETO105","105cm","8cm","Preto | #000000","9999999","131.25","Cor: Preto - Largura: 105cm - Altura: 8cm","1","105","105","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BANDOPRETO","Bandô - Preto","BANDOPRETO106","106cm","8cm","Preto | #000000","9999999","132.50","Cor: Preto - Largura: 106cm - Altura: 8cm","1","106","106","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BANDOPRETO","Bandô - Preto","BANDOPRETO107","107cm","8cm","Preto | #000000","9999999","133.75","Cor: Preto - Largura: 107cm - Altura: 8cm","1","107","107","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BANDOPRETO","Bandô - Preto","BANDOPRETO108","108cm","8cm","Preto | #000000","9999999","135.00","Cor: Preto - Largura: 108cm - Altura: 8cm","1","108","108","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BANDOPRETO","Bandô - Preto","BANDOPRETO109","109cm","8cm","Preto | #000000","9999999","136.25","Cor: Preto - Largura: 109cm - Altura: 8cm","1","109","109","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BANDOPRETO","Bandô - Preto","BANDOPRETO110","110cm","8cm","Preto | #000000","9999999","137.50","Cor: Preto - Largura: 110cm - Altura: 8cm","1","110","110","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
