"referência","nome","sku","atributo 1","atributo 2","atributo 3","quantidade","preço","variante","peso","largura","comprimento","altura","tags","código de barras"
"BAD_TST_BRC","Bandô - Teste - Branco","BAD_TST_BRC100","100cm","10cm","Branco | #FFFFFF","9999999","120.00","Cor: Branco - Largura: 100cm - Altura: 10cm","1","100","100","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BAD_TST_BRC","Bandô - Teste - Branco","BAD_TST_BRC105","105cm","10cm","Branco | #FFFFFF","9999999","126.00","Cor: Branco - Largura: 105cm - Altura: 10cm","1","105","105","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BAD_TST_BRC","Bandô - Teste - Branco","BAD_TST_BRC110","110cm","10cm","Branco | #FFFFFF","9999999","132.00","Cor: Branco - Largura: 110cm - Altura: 10cm","1","110","110","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BAD_TST_BRC","Bandô - Teste - Branco","BAD_TST_BRC115","115cm","10cm","Branco | #FFFFFF","9999999","138.00","Cor: Branco - Largura: 115cm - Altura: 10cm","1","115","115","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BAD_TST_BRC","Bandô - Teste - Branco","BAD_TST_BRC120","120cm","10cm","Branco | #FFFFFF","9999999","144.00","Cor: Branco - Largura: 120cm - Altura: 10cm","1","120","120","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BAD_TST_BRC","Bandô - Teste - Branco","BAD_TST_BRC125","125cm","10cm","Branco | #FFFFFF","9999999","150.00","Cor: Branco - Largura: 125cm - Altura: 10cm","1","125","125","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BAD_TST_BRC","Bandô - Teste - Branco","BAD_TST_BRC130","130cm","10cm","Branco | #FFFFFF","9999999","156.00","Cor: Branco - Largura: 130cm - Altura: 10cm","1","130","130","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BAD_TST_BRC","Bandô - Teste - Branco","BAD_TST_BRC135","135cm","10cm","Branco | #FFFFFF","9999999","162.00","Cor: Branco - Largura: 135cm - Altura: 10cm","1","135","135","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BAD_TST_BRC","Bandô - Teste - Branco","BAD_TST_BRC140","140cm","10cm","Branco | #FFFFFF","9999999","168.00","Cor: Branco - Largura: 140cm - Altura: 10cm","1","140","140","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BAD_TST_BRC","Bandô - Teste - Branco","BAD_TST_BRC145","145cm","10cm","Branco | #FFFFFF","9999999","174.00","Cor: Branco - Largura: 145cm - Altura: 10cm","1","145","145","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BAD_TST_BRC","Bandô - Teste - Branco","BAD_TST_BRC150","150cm","10cm","Branco | #FFFFFF","9999999","180.00","Cor: Branco - Largura: 150cm - Altura: 10cm","1","150","150","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BAD_TST_BRC","Bandô - Teste - Branco","BAD_TST_BRC155","155cm","10cm","Branco | #FFFFFF","9999999","186.00","Cor: Branco - Largura: 155cm - Altura: 10cm","1","155","155","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BAD_TST_BRC","Bandô - Teste - Branco","BAD_TST_BRC160","160cm","10cm","Branco | #FFFFFF","9999999","192.00","Cor: Branco - Largura: 160cm - Altura: 10cm","1","160","160","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BAD_TST_BRC","Bandô - Teste - Branco","BAD_TST_BRC165","165cm","10cm","Branco | #FFFFFF","9999999","198.00","Cor: Branco - Largura: 165cm - Altura: 10cm","1","165","165","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BAD_TST_BRC","Bandô - Teste - Branco","BAD_TST_BRC170","170cm","10cm","Branco | #FFFFFF","9999999","204.00","Cor: Branco - Largura: 170cm - Altura: 10cm","1","170","170","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BAD_TST_BRC","Bandô - Teste - Branco","BAD_TST_BRC175","175cm","10cm","Branco | #FFFFFF","9999999","210.00","Cor: Branco - Largura: 175cm - Altura: 10cm","1","175","175","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BAD_TST_BRC","Bandô - Teste - Branco","BAD_TST_BRC180","180cm","10cm","Branco | #FFFFFF","9999999","216.00","Cor: Branco - Largura: 180cm - Altura: 10cm","1","180","180","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BAD_TST_BRC","Bandô - Teste - Branco","BAD_TST_BRC185","185cm","10cm","Branco | #FFFFFF","9999999","222.00","Cor: Branco - Largura: 185cm - Altura: 10cm","1","185","185","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"BAD_TST_BRC","Bandô - Teste - Branco","BAD_TST_BRC190","190cm","10cm","Branco | #FFFFFF","9999999","228.00","Cor: Branco - Largura: 190cm - Altura: 10cm","1","190","190","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
