"referência","nome","sku","atributo 1","atributo 2","atributo 3","quantidade","preço","variante","peso","largura","comprimento","altura","tags","código de barras"
"G_L_AZUL","Guia Lateral - Azul","G_L_AZUL100","10cm","100cm","Azul | #BBBCCC","9999999","120.00","Cor: Azul - Largura: 10cm - Altura: 100cm","1","100","100","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-guia-lateral, range-largura-guia-lateral",""
"G_L_AZUL","Guia Lateral - Azul","G_L_AZUL105","10cm","105cm","Azul | #BBBCCC","9999999","126.00","Cor: Azul - Largura: 10cm - Altura: 105cm","1","105","105","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-guia-lateral, range-largura-guia-lateral",""
"G_L_AZUL","Guia Lateral - Azul","G_L_AZUL110","10cm","110cm","Azul | #BBBCCC","9999999","132.00","Cor: Azul - Largura: 10cm - Altura: 110cm","1","110","110","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-guia-lateral, range-largura-guia-lateral",""
"G_L_AZUL","Guia Lateral - Azul","G_L_AZUL115","10cm","115cm","Azul | #BBBCCC","9999999","138.00","Cor: Azul - Largura: 10cm - Altura: 115cm","1","115","115","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-guia-lateral, range-largura-guia-lateral",""
"G_L_AZUL","Guia Lateral - Azul","G_L_AZUL120","10cm","120cm","Azul | #BBBCCC","9999999","144.00","Cor: Azul - Largura: 10cm - Altura: 120cm","1","120","120","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-guia-lateral, range-largura-guia-lateral",""
"G_L_AZUL","Guia Lateral - Azul","G_L_AZUL125","10cm","125cm","Azul | #BBBCCC","9999999","150.00","Cor: Azul - Largura: 10cm - Altura: 125cm","1","125","125","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-guia-lateral, range-largura-guia-lateral",""
"G_L_AZUL","Guia Lateral - Azul","G_L_AZUL130","10cm","130cm","Azul | #BBBCCC","9999999","156.00","Cor: Azul - Largura: 10cm - Altura: 130cm","1","130","130","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-guia-lateral, range-largura-guia-lateral",""
"G_L_AZUL","Guia Lateral - Azul","G_L_AZUL135","10cm","135cm","Azul | #BBBCCC","9999999","162.00","Cor: Azul - Largura: 10cm - Altura: 135cm","1","135","135","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-guia-lateral, range-largura-guia-lateral",""
"G_L_AZUL","Guia Lateral - Azul","G_L_AZUL140","10cm","140cm","Azul | #BBBCCC","9999999","168.00","Cor: Azul - Largura: 10cm - Altura: 140cm","1","140","140","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-guia-lateral, range-largura-guia-lateral",""
"G_L_AZUL","Guia Lateral - Azul","G_L_AZUL145","10cm","145cm","Azul | #BBBCCC","9999999","174.00","Cor: Azul - Largura: 10cm - Altura: 145cm","1","145","145","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-guia-lateral, range-largura-guia-lateral",""
"G_L_AZUL","Guia Lateral - Azul","G_L_AZUL150","10cm","150cm","Azul | #BBBCCC","9999999","180.00","Cor: Azul - Largura: 10cm - Altura: 150cm","1","150","150","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-guia-lateral, range-largura-guia-lateral",""
"G_L_AZUL","Guia Lateral - Azul","G_L_AZUL155","10cm","155cm","Azul | #BBBCCC","9999999","186.00","Cor: Azul - Largura: 10cm - Altura: 155cm","1","155","155","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-guia-lateral, range-largura-guia-lateral",""
"G_L_AZUL","Guia Lateral - Azul","G_L_AZUL160","10cm","160cm","Azul | #BBBCCC","9999999","192.00","Cor: Azul - Largura: 10cm - Altura: 160cm","1","160","160","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-guia-lateral, range-largura-guia-lateral",""
"G_L_AZUL","Guia Lateral - Azul","G_L_AZUL165","10cm","165cm","Azul | #BBBCCC","9999999","198.00","Cor: Azul - Largura: 10cm - Altura: 165cm","1","165","165","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-guia-lateral, range-largura-guia-lateral",""
"G_L_AZUL","Guia Lateral - Azul","G_L_AZUL170","10cm","170cm","Azul | #BBBCCC","9999999","204.00","Cor: Azul - Largura: 10cm - Altura: 170cm","1","170","170","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-guia-lateral, range-largura-guia-lateral",""
"G_L_AZUL","Guia Lateral - Azul","G_L_AZUL175","10cm","175cm","Azul | #BBBCCC","9999999","210.00","Cor: Azul - Largura: 10cm - Altura: 175cm","1","175","175","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-guia-lateral, range-largura-guia-lateral",""
