"referência","nome","sku","atributo 1","atributo 2","atributo 3","quantidade","preço","variante","peso","largura","comprimento","altura","tags","código de barras"
"DVBR","Double Vision - Branco - Sem Bandô","DVBR150100","150cm","100cm","Branco | #FFFFFF","9999999","467.22","Double Vision - Branco - Sem Bandô","1","150","150","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"DVBR","Double Vision - Branco - Sem Bandô","DVBR155100","155cm","100cm","Branco | #FFFFFF","9999999","477.87","Double Vision - Branco - Sem Bandô","1","155","155","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"DVBR","Double Vision - Branco - Sem Bandô","DVBR160100","160cm","100cm","Branco | #FFFFFF","9999999","488.53","Double Vision - Branco - Sem Bandô","1","160","160","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"DVBR","Double Vision - Branco - Sem Bandô","DVBR165100","165cm","100cm","Branco | #FFFFFF","9999999","499.19","Double Vision - Branco - Sem Bandô","1","165","165","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"DVBR","Double Vision - Branco - Sem Bandô","DVBR170100","170cm","100cm","Branco | #FFFFFF","9999999","509.84","Double Vision - Branco - Sem Bandô","1","170","170","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"DVBR","Double Vision - Branco - Sem Bandô","DVBR175100","175cm","100cm","Branco | #FFFFFF","9999999","520.50","Double Vision - Branco - Sem Bandô","1","175","175","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"DVBR","Double Vision - Branco - Sem Bandô","DVBR180100","180cm","100cm","Branco | #FFFFFF","9999999","531.15","Double Vision - Branco - Sem Bandô","1","180","180","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"DVBR","Double Vision - Branco - Sem Bandô","DVBR185100","185cm","100cm","Branco | #FFFFFF","9999999","541.81","Double Vision - Branco - Sem Bandô","1","185","185","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"DVBR","Double Vision - Branco - Sem Bandô","DVBR190100","190cm","100cm","Branco | #FFFFFF","9999999","552.46","Double Vision - Branco - Sem Bandô","1","190","190","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"DVBR","Double Vision - Branco - Sem Bandô","DVBR195100","195cm","100cm","Branco | #FFFFFF","9999999","563.12","Double Vision - Branco - Sem Bandô","1","195","195","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
