"referência","nome","sku","atributo 1","atributo 2","atributo 3","quantidade","preço","variante","peso","largura","comprimento","altura","tags","código de barras"
"DVPR","Double Vision - Preto - Poliester - Sem Bandô","DVPR150100","150cm","100cm","Preto | #000000","9999999","467.22","Double Vision - Preto - Poliester - Sem Bandô","1","150","150","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"DVPR","Double Vision - Preto - Poliester - Sem Bandô","DVPR155100","155cm","100cm","Preto | #000000","9999999","477.87","Double Vision - Preto - Poliester - Sem Bandô","1","155","155","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"DVPR","Double Vision - Preto - Poliester - Sem Bandô","DVPR160100","160cm","100cm","Preto | #000000","9999999","488.53","Double Vision - Preto - Poliester - Sem Bandô","1","160","160","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"DVPR","Double Vision - Preto - Poliester - Sem Bandô","DVPR165100","165cm","100cm","Preto | #000000","9999999","499.19","Double Vision - Preto - Poliester - Sem Bandô","1","165","165","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"DVPR","Double Vision - Preto - Poliester - Sem Bandô","DVPR170100","170cm","100cm","Preto | #000000","9999999","509.84","Double Vision - Preto - Poliester - Sem Bandô","1","170","170","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"DVPR","Double Vision - Preto - Poliester - Sem Bandô","DVPR175100","175cm","100cm","Preto | #000000","9999999","520.50","Double Vision - Preto - Poliester - Sem Bandô","1","175","175","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"DVPR","Double Vision - Preto - Poliester - Sem Bandô","DVPR180100","180cm","100cm","Preto | #000000","9999999","531.15","Double Vision - Preto - Poliester - Sem Bandô","1","180","180","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"DVPR","Double Vision - Preto - Poliester - Sem Bandô","DVPR185100","185cm","100cm","Preto | #000000","9999999","541.81","Double Vision - Preto - Poliester - Sem Bandô","1","185","185","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"DVPR","Double Vision - Preto - Poliester - Sem Bandô","DVPR190100","190cm","100cm","Preto | #000000","9999999","552.46","Double Vision - Preto - Poliester - Sem Bandô","1","190","190","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"DVPR","Double Vision - Preto - Poliester - Sem Bandô","DVPR195100","195cm","100cm","Preto | #000000","9999999","563.12","Double Vision - Preto - Poliester - Sem Bandô","1","195","195","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"DVPR","Double Vision - Preto - Poliester - Sem Bandô","DVPR200100","200cm","100cm","Preto | #000000","9999999","573.78","Double Vision - Preto - Poliester - Sem Bandô","1","200","200","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"DVPR","Double Vision - Preto - Poliester - Sem Bandô","DVPR205100","205cm","100cm","Preto | #000000","9999999","584.43","Double Vision - Preto - Poliester - Sem Bandô","1","205","205","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"DVPR","Double Vision - Preto - Poliester - Sem Bandô","DVPR210100","210cm","100cm","Preto | #000000","9999999","595.09","Double Vision - Preto - Poliester - Sem Bandô","1","210","210","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"DVPR","Double Vision - Preto - Poliester - Sem Bandô","DVPR215100","215cm","100cm","Preto | #000000","9999999","605.74","Double Vision - Preto - Poliester - Sem Bandô","1","215","215","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"DVPR","Double Vision - Preto - Poliester - Sem Bandô","DVPR220100","220cm","100cm","Preto | #000000","9999999","616.40","Double Vision - Preto - Poliester - Sem Bandô","1","220","220","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"DVPR","Double Vision - Preto - Poliester - Sem Bandô","DVPR225100","225cm","100cm","Preto | #000000","9999999","627.05","Double Vision - Preto - Poliester - Sem Bandô","1","225","225","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"DVPR","Double Vision - Preto - Poliester - Sem Bandô","DVPR230100","230cm","100cm","Preto | #000000","9999999","637.71","Double Vision - Preto - Poliester - Sem Bandô","1","230","230","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"DVPR","Double Vision - Preto - Poliester - Sem Bandô","DVPR235100","235cm","100cm","Preto | #000000","9999999","648.37","Double Vision - Preto - Poliester - Sem Bandô","1","235","235","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
