"referência","nome","sku","atributo 1","atributo 2","atributo 3","quantidade","preço","variante","peso","largura","comprimento","altura","tags","código de barras"
"KITBOXPR","Kit Box - Preto - Pinpoint","KITBOXPR150100","150cm","100cm","Preto | #000000","9999999","762.30","Kit Box - Preto - Pinpoint","1","150","150","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"KITBOXPR","Kit Box - Preto - Pinpoint","KITBOXPR155100","155cm","100cm","Preto | #000000","9999999","777.87","Kit Box - Preto - Pinpoint","1","155","155","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"KITBOXPR","Kit Box - Preto - Pinpoint","KITBOXPR160100","160cm","100cm","Preto | #000000","9999999","793.45","Kit Box - Preto - Pinpoint","1","160","160","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"KITBOXPR","Kit Box - Preto - Pinpoint","KITBOXPR165100","165cm","100cm","Preto | #000000","9999999","809.02","Kit Box - Preto - Pinpoint","1","165","165","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"KITBOXPR","Kit Box - Preto - Pinpoint","KITBOXPR170100","170cm","100cm","Preto | #000000","9999999","824.60","Kit Box - Preto - Pinpoint","1","170","170","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"KITBOXPR","Kit Box - Preto - Pinpoint","KITBOXPR175100","175cm","100cm","Preto | #000000","9999999","840.17","Kit Box - Preto - Pinpoint","1","175","175","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"KITBOXPR","Kit Box - Preto - Pinpoint","KITBOXPR180100","180cm","100cm","Preto | #000000","9999999","855.74","Kit Box - Preto - Pinpoint","1","180","180","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"KITBOXPR","Kit Box - Preto - Pinpoint","KITBOXPR185100","185cm","100cm","Preto | #000000","9999999","871.32","Kit Box - Preto - Pinpoint","1","185","185","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"KITBOXPR","Kit Box - Preto - Pinpoint","KITBOXPR190100","190cm","100cm","Preto | #000000","9999999","886.89","Kit Box - Preto - Pinpoint","1","190","190","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"KITBOXPR","Kit Box - Preto - Pinpoint","KITBOXPR195100","195cm","100cm","Preto | #000000","9999999","902.46","Kit Box - Preto - Pinpoint","1","195","195","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"KITBOXPR","Kit Box - Preto - Pinpoint","KITBOXPR200100","200cm","100cm","Preto | #000000","9999999","918.04","Kit Box - Preto - Pinpoint","1","200","200","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"KITBOXPR","Kit Box - Preto - Pinpoint","KITBOXPR205100","205cm","100cm","Preto | #000000","9999999","933.61","Kit Box - Preto - Pinpoint","1","205","205","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"KITBOXPR","Kit Box - Preto - Pinpoint","KITBOXPR210100","210cm","100cm","Preto | #000000","9999999","949.19","Kit Box - Preto - Pinpoint","1","210","210","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"KITBOXPR","Kit Box - Preto - Pinpoint","KITBOXPR215100","215cm","100cm","Preto | #000000","9999999","964.76","Kit Box - Preto - Pinpoint","1","215","215","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"KITBOXPR","Kit Box - Preto - Pinpoint","KITBOXPR220100","220cm","100cm","Preto | #000000","9999999","980.33","Kit Box - Preto - Pinpoint","1","220","220","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"KITBOXPR","Kit Box - Preto - Pinpoint","KITBOXPR225100","225cm","100cm","Preto | #000000","9999999","995.91","Kit Box - Preto - Pinpoint","1","225","225","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"KITBOXPR","Kit Box - Preto - Pinpoint","KITBOXPR230100","230cm","100cm","Preto | #000000","9999999","1011.48","Kit Box - Preto - Pinpoint","1","230","230","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"KITBOXPR","Kit Box - Preto - Pinpoint","KITBOXPR235100","235cm","100cm","Preto | #000000","9999999","1027.05","Kit Box - Preto - Pinpoint","1","235","235","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"KITBOXPR","Kit Box - Preto - Pinpoint","KITBOXPR240100","240cm","100cm","Preto | #000000","9999999","1042.63","Kit Box - Preto - Pinpoint","1","240","240","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"KITBOXPR","Kit Box - Preto - Pinpoint","KITBOXPR245100","245cm","100cm","Preto | #000000","9999999","1058.20","Kit Box - Preto - Pinpoint","1","245","245","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"KITBOXPR","Kit Box - Preto - Pinpoint","KITBOXPR250100","250cm","100cm","Preto | #000000","9999999","1073.78","Kit Box - Preto - Pinpoint","1","250","250","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
