"referência","nome","sku","atributo 1","atributo 2","atributo 3","quantidade","preço","variante","peso","largura","comprimento","altura","tags","código de barras"
"PNLB52","Painel - Cinza - Poliester - Sem Bandô","PNLB52150100","150cm","100cm","Cinza | #CCCCCC","9999999","418.04","Painel - Cinza - Poliester - Sem Bandô","1","150","150","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PNLB52","Painel - Cinza - Poliester - Sem Bandô","PNLB52155100","155cm","100cm","Cinza | #CCCCCC","9999999","427.05","Painel - Cinza - Poliester - Sem Bandô","1","155","155","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PNLB52","Painel - Cinza - Poliester - Sem Bandô","PNLB52160100","160cm","100cm","Cinza | #CCCCCC","9999999","436.07","Painel - Cinza - Poliester - Sem Bandô","1","160","160","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PNLB52","Painel - Cinza - Poliester - Sem Bandô","PNLB52165100","165cm","100cm","Cinza | #CCCCCC","9999999","445.09","Painel - Cinza - Poliester - Sem Bandô","1","165","165","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PNLB52","Painel - Cinza - Poliester - Sem Bandô","PNLB52170100","170cm","100cm","Cinza | #CCCCCC","9999999","454.10","Painel - Cinza - Poliester - Sem Bandô","1","170","170","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PNLB52","Painel - Cinza - Poliester - Sem Bandô","PNLB52175100","175cm","100cm","Cinza | #CCCCCC","9999999","463.12","Painel - Cinza - Poliester - Sem Bandô","1","175","175","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PNLB52","Painel - Cinza - Poliester - Sem Bandô","PNLB52180100","180cm","100cm","Cinza | #CCCCCC","9999999","472.14","Painel - Cinza - Poliester - Sem Bandô","1","180","180","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PNLB52","Painel - Cinza - Poliester - Sem Bandô","PNLB52185100","185cm","100cm","Cinza | #CCCCCC","9999999","481.15","Painel - Cinza - Poliester - Sem Bandô","1","185","185","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PNLB52","Painel - Cinza - Poliester - Sem Bandô","PNLB52190100","190cm","100cm","Cinza | #CCCCCC","9999999","490.17","Painel - Cinza - Poliester - Sem Bandô","1","190","190","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PNLB52","Painel - Cinza - Poliester - Sem Bandô","PNLB52195100","195cm","100cm","Cinza | #CCCCCC","9999999","499.19","Painel - Cinza - Poliester - Sem Bandô","1","195","195","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PNLB52","Painel - Cinza - Poliester - Sem Bandô","PNLB52200100","200cm","100cm","Cinza | #CCCCCC","9999999","508.20","Painel - Cinza - Poliester - Sem Bandô","1","200","200","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PNLB52","Painel - Cinza - Poliester - Sem Bandô","PNLB52205100","205cm","100cm","Cinza | #CCCCCC","9999999","517.22","Painel - Cinza - Poliester - Sem Bandô","1","205","205","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PNLB52","Painel - Cinza - Poliester - Sem Bandô","PNLB52210100","210cm","100cm","Cinza | #CCCCCC","9999999","526.23","Painel - Cinza - Poliester - Sem Bandô","1","210","210","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PNLB52","Painel - Cinza - Poliester - Sem Bandô","PNLB52215100","215cm","100cm","Cinza | #CCCCCC","9999999","535.25","Painel - Cinza - Poliester - Sem Bandô","1","215","215","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
