"referência","nome","sku","atributo 1","atributo 2","atributo 3","quantidade","preço","variante","peso","largura","comprimento","altura","tags","código de barras"
"PNLB128","Painel - Preto - Poliester - Sem Bandô","PNLB128150100","150cm","100cm","Preto | #000000","9999999","418.04","Painel - Preto - Poliester - Sem Bandô","1","150","150","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PNLB128","Painel - Preto - Poliester - Sem Bandô","PNLB128155100","155cm","100cm","Preto | #000000","9999999","427.05","Painel - Preto - Poliester - Sem Bandô","1","155","155","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PNLB128","Painel - Preto - Poliester - Sem Bandô","PNLB128160100","160cm","100cm","Preto | #000000","9999999","436.07","Painel - Preto - Poliester - Sem Bandô","1","160","160","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PNLB128","Painel - Preto - Poliester - Sem Bandô","PNLB128165100","165cm","100cm","Preto | #000000","9999999","445.09","Painel - Preto - Poliester - Sem Bandô","1","165","165","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PNLB128","Painel - Preto - Poliester - Sem Bandô","PNLB128170100","170cm","100cm","Preto | #000000","9999999","454.10","Painel - Preto - Poliester - Sem Bandô","1","170","170","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PNLB128","Painel - Preto - Poliester - Sem Bandô","PNLB128175100","175cm","100cm","Preto | #000000","9999999","463.12","Painel - Preto - Poliester - Sem Bandô","1","175","175","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PNLB128","Painel - Preto - Poliester - Sem Bandô","PNLB128180100","180cm","100cm","Preto | #000000","9999999","472.14","Painel - Preto - Poliester - Sem Bandô","1","180","180","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PNLB128","Painel - Preto - Poliester - Sem Bandô","PNLB128185100","185cm","100cm","Preto | #000000","9999999","481.15","Painel - Preto - Poliester - Sem Bandô","1","185","185","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PNLB128","Painel - Preto - Poliester - Sem Bandô","PNLB128190100","190cm","100cm","Preto | #000000","9999999","490.17","Painel - Preto - Poliester - Sem Bandô","1","190","190","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PNLB128","Painel - Preto - Poliester - Sem Bandô","PNLB128195100","195cm","100cm","Preto | #000000","9999999","499.19","Painel - Preto - Poliester - Sem Bandô","1","195","195","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PNLB128","Painel - Preto - Poliester - Sem Bandô","PNLB128200100","200cm","100cm","Preto | #000000","9999999","508.20","Painel - Preto - Poliester - Sem Bandô","1","200","200","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PNLB128","Painel - Preto - Poliester - Sem Bandô","PNLB128205100","205cm","100cm","Preto | #000000","9999999","517.22","Painel - Preto - Poliester - Sem Bandô","1","205","205","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PNLB128","Painel - Preto - Poliester - Sem Bandô","PNLB128210100","210cm","100cm","Preto | #000000","9999999","526.23","Painel - Preto - Poliester - Sem Bandô","1","210","210","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PNLB128","Painel - Preto - Poliester - Sem Bandô","PNLB128215100","215cm","100cm","Preto | #000000","9999999","535.25","Painel - Preto - Poliester - Sem Bandô","1","215","215","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PNLB128","Painel - Preto - Poliester - Sem Bandô","PNLB128220100","220cm","100cm","Preto | #000000","9999999","544.27","Painel - Preto - Poliester - Sem Bandô","1","220","220","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PNLB128","Painel - Preto - Poliester - Sem Bandô","PNLB128225100","225cm","100cm","Preto | #000000","9999999","553.28","Painel - Preto - Poliester - Sem Bandô","1","225","225","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PNLB128","Painel - Preto - Poliester - Sem Bandô","PNLB128230100","230cm","100cm","Preto | #000000","9999999","562.30","Painel - Preto - Poliester - Sem Bandô","1","230","230","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PNLB128","Painel - Preto - Poliester - Sem Bandô","PNLB128235100","235cm","100cm","Preto | #000000","9999999","571.32","Painel - Preto - Poliester - Sem Bandô","1","235","235","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PNLB128","Painel - Preto - Poliester - Sem Bandô","PNLB128240100","240cm","100cm","Preto | #000000","9999999","580.33","Painel - Preto - Poliester - Sem Bandô","1","240","240","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PNLB128","Painel - Preto - Poliester - Sem Bandô","PNLB128245100","245cm","100cm","Preto | #000000","9999999","589.35","Painel - Preto - Poliester - Sem Bandô","1","245","245","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PNLB128","Painel - Preto - Poliester - Sem Bandô","PNLB128250100","250cm","100cm","Preto | #000000","9999999","598.37","Painel - Preto - Poliester - Sem Bandô","1","250","250","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PNLB128","Painel - Preto - Poliester - Sem Bandô","PNLB128255100","255cm","100cm","Preto | #000000","9999999","607.38","Painel - Preto - Poliester - Sem Bandô","1","255","255","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PNLB128","Painel - Preto - Poliester - Sem Bandô","PNLB128260100","260cm","100cm","Preto | #000000","9999999","616.40","Painel - Preto - Poliester - Sem Bandô","1","260","260","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
