"referência","nome","sku","atributo 1","atributo 2","atributo 3","quantidade","preço","variante","peso","largura","comprimento","altura","tags","código de barras"
"LB56","Persiana Rolô - Branca - Sem Bandô","LB56150100","150cm","100cm","Branca | #FFFFFF","99999","418.04","Persiana Rolô - Branca - Sem Bandô","1","150","150","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB56","Persiana Rolô - Branca - Sem Bandô","LB56155100","155cm","100cm","Branca | #FFFFFF","99999","427.05","Persiana Rolô - Branca - Sem Bandô","1","155","155","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB56","Persiana Rolô - Branca - Sem Bandô","LB56160100","160cm","100cm","Branca | #FFFFFF","99999","436.07","Persiana Rolô - Branca - Sem Bandô","1","160","160","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB56","Persiana Rolô - Branca - Sem Bandô","LB56165100","165cm","100cm","Branca | #FFFFFF","99999","445.09","Persiana Rolô - Branca - Sem Bandô","1","165","165","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB56","Persiana Rolô - Branca - Sem Bandô","LB56170100","170cm","100cm","Branca | #FFFFFF","99999","454.10","Persiana Rolô - Branca - Sem Bandô","1","170","170","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB56","Persiana Rolô - Branca - Sem Bandô","LB56175100","175cm","100cm","Branca | #FFFFFF","99999","463.12","Persiana Rolô - Branca - Sem Bandô","1","175","175","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB56","Persiana Rolô - Branca - Sem Bandô","LB56180100","180cm","100cm","Branca | #FFFFFF","99999","472.14","Persiana Rolô - Branca - Sem Bandô","1","180","180","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB56","Persiana Rolô - Branca - Sem Bandô","LB56185100","185cm","100cm","Branca | #FFFFFF","99999","481.15","Persiana Rolô - Branca - Sem Bandô","1","185","185","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB56","Persiana Rolô - Branca - Sem Bandô","LB56190100","190cm","100cm","Branca | #FFFFFF","99999","490.17","Persiana Rolô - Branca - Sem Bandô","1","190","190","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB56","Persiana Rolô - Branca - Sem Bandô","LB56195100","195cm","100cm","Branca | #FFFFFF","99999","499.19","Persiana Rolô - Branca - Sem Bandô","1","195","195","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB56","Persiana Rolô - Branca - Sem Bandô","LB56200100","200cm","100cm","Branca | #FFFFFF","99999","508.20","Persiana Rolô - Branca - Sem Bandô","1","200","200","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB56","Persiana Rolô - Branca - Sem Bandô","LB56205100","205cm","100cm","Branca | #FFFFFF","99999","517.22","Persiana Rolô - Branca - Sem Bandô","1","205","205","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB56","Persiana Rolô - Branca - Sem Bandô","LB56210100","210cm","100cm","Branca | #FFFFFF","99999","526.23","Persiana Rolô - Branca - Sem Bandô","1","210","210","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB56","Persiana Rolô - Branca - Sem Bandô","LB56215100","215cm","100cm","Branca | #FFFFFF","99999","535.25","Persiana Rolô - Branca - Sem Bandô","1","215","215","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB56","Persiana Rolô - Branca - Sem Bandô","LB56220100","220cm","100cm","Branca | #FFFFFF","99999","544.27","Persiana Rolô - Branca - Sem Bandô","1","220","220","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB56","Persiana Rolô - Branca - Sem Bandô","LB56225100","225cm","100cm","Branca | #FFFFFF","99999","553.28","Persiana Rolô - Branca - Sem Bandô","1","225","225","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB56","Persiana Rolô - Branca - Sem Bandô","LB56230100","230cm","100cm","Branca | #FFFFFF","99999","562.30","Persiana Rolô - Branca - Sem Bandô","1","230","230","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB56","Persiana Rolô - Branca - Sem Bandô","LB56235100","235cm","100cm","Branca | #FFFFFF","99999","571.32","Persiana Rolô - Branca - Sem Bandô","1","235","235","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB56","Persiana Rolô - Branca - Sem Bandô","LB56240100","240cm","100cm","Branca | #FFFFFF","99999","580.33","Persiana Rolô - Branca - Sem Bandô","1","240","240","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB56","Persiana Rolô - Branca - Sem Bandô","LB56245100","245cm","100cm","Branca | #FFFFFF","99999","589.35","Persiana Rolô - Branca - Sem Bandô","1","245","245","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB56","Persiana Rolô - Branca - Sem Bandô","LB56250100","250cm","100cm","Branca | #FFFFFF","99999","598.37","Persiana Rolô - Branca - Sem Bandô","1","250","250","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB56","Persiana Rolô - Branca - Sem Bandô","LB56255100","255cm","100cm","Branca | #FFFFFF","99999","607.38","Persiana Rolô - Branca - Sem Bandô","1","255","255","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
