"referência","nome","sku","atributo 1","atributo 2","atributo 3","quantidade","preço","variante","peso","largura","comprimento","altura","tags","código de barras"
"LB47","Persiana Rolô - Branco - 100% BlackOut","LB47150100","150cm","100cm","Branco | #FFFFFF","9999999","418.04","Persiana Rolô - Branco - 100% BlackOut","1","150","150","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB47","Persiana Rolô - Branco - 100% BlackOut","LB47155100","155cm","100cm","Branco | #FFFFFF","9999999","427.05","Persiana Rolô - Branco - 100% BlackOut","1","155","155","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB47","Persiana Rolô - Branco - 100% BlackOut","LB47160100","160cm","100cm","Branco | #FFFFFF","9999999","436.07","Persiana Rolô - Branco - 100% BlackOut","1","160","160","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB47","Persiana Rolô - Branco - 100% BlackOut","LB47165100","165cm","100cm","Branco | #FFFFFF","9999999","445.09","Persiana Rolô - Branco - 100% BlackOut","1","165","165","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB47","Persiana Rolô - Branco - 100% BlackOut","LB47170100","170cm","100cm","Branco | #FFFFFF","9999999","454.10","Persiana Rolô - Branco - 100% BlackOut","1","170","170","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB47","Persiana Rolô - Branco - 100% BlackOut","LB47175100","175cm","100cm","Branco | #FFFFFF","9999999","463.12","Persiana Rolô - Branco - 100% BlackOut","1","175","175","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB47","Persiana Rolô - Branco - 100% BlackOut","LB47180100","180cm","100cm","Branco | #FFFFFF","9999999","472.14","Persiana Rolô - Branco - 100% BlackOut","1","180","180","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB47","Persiana Rolô - Branco - 100% BlackOut","LB47185100","185cm","100cm","Branco | #FFFFFF","9999999","481.15","Persiana Rolô - Branco - 100% BlackOut","1","185","185","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB47","Persiana Rolô - Branco - 100% BlackOut","LB47190100","190cm","100cm","Branco | #FFFFFF","9999999","490.17","Persiana Rolô - Branco - 100% BlackOut","1","190","190","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB47","Persiana Rolô - Branco - 100% BlackOut","LB47195100","195cm","100cm","Branco | #FFFFFF","9999999","499.19","Persiana Rolô - Branco - 100% BlackOut","1","195","195","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB47","Persiana Rolô - Branco - 100% BlackOut","LB47200100","200cm","100cm","Branco | #FFFFFF","9999999","508.20","Persiana Rolô - Branco - 100% BlackOut","1","200","200","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB47","Persiana Rolô - Branco - 100% BlackOut","LB47205100","205cm","100cm","Branco | #FFFFFF","9999999","517.22","Persiana Rolô - Branco - 100% BlackOut","1","205","205","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB47","Persiana Rolô - Branco - 100% BlackOut","LB47210100","210cm","100cm","Branco | #FFFFFF","9999999","526.23","Persiana Rolô - Branco - 100% BlackOut","1","210","210","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB47","Persiana Rolô - Branco - 100% BlackOut","LB47215100","215cm","100cm","Branco | #FFFFFF","9999999","535.25","Persiana Rolô - Branco - 100% BlackOut","1","215","215","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB47","Persiana Rolô - Branco - 100% BlackOut","LB47220100","220cm","100cm","Branco | #FFFFFF","9999999","544.27","Persiana Rolô - Branco - 100% BlackOut","1","220","220","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB47","Persiana Rolô - Branco - 100% BlackOut","LB47225100","225cm","100cm","Branco | #FFFFFF","9999999","553.28","Persiana Rolô - Branco - 100% BlackOut","1","225","225","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB47","Persiana Rolô - Branco - 100% BlackOut","LB47230100","230cm","100cm","Branco | #FFFFFF","9999999","562.30","Persiana Rolô - Branco - 100% BlackOut","1","230","230","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB47","Persiana Rolô - Branco - 100% BlackOut","LB47235100","235cm","100cm","Branco | #FFFFFF","9999999","571.32","Persiana Rolô - Branco - 100% BlackOut","1","235","235","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB47","Persiana Rolô - Branco - 100% BlackOut","LB47240100","240cm","100cm","Branco | #FFFFFF","9999999","580.33","Persiana Rolô - Branco - 100% BlackOut","1","240","240","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB47","Persiana Rolô - Branco - 100% BlackOut","LB47245100","245cm","100cm","Branco | #FFFFFF","9999999","589.35","Persiana Rolô - Branco - 100% BlackOut","1","245","245","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB47","Persiana Rolô - Branco - 100% BlackOut","LB47250100","250cm","100cm","Branco | #FFFFFF","9999999","598.37","Persiana Rolô - Branco - 100% BlackOut","1","250","250","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB47","Persiana Rolô - Branco - 100% BlackOut","LB47255100","255cm","100cm","Branco | #FFFFFF","9999999","607.38","Persiana Rolô - Branco - 100% BlackOut","1","255","255","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB47","Persiana Rolô - Branco - 100% BlackOut","LB47260100","260cm","100cm","Branco | #FFFFFF","9999999","616.40","Persiana Rolô - Branco - 100% BlackOut","1","260","260","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
