"referência","nome","sku","atributo 1","atributo 2","atributo 3","quantidade","preço","variante","peso","largura","comprimento","altura","tags","código de barras"
"LB55","Persiana Rolô - Branco - Poliester - 100% BlackOut - Sem Bandô","LB55150100","150cm","100cm","Branco | #FFFFFF","9999999","418.04","Persiana Rolô - Branco - Poliester - 100% BlackOut - Sem Bandô","1","150","150","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB55","Persiana Rolô - Branco - Poliester - 100% BlackOut - Sem Bandô","LB55155100","155cm","100cm","Branco | #FFFFFF","9999999","427.05","Persiana Rolô - Branco - Poliester - 100% BlackOut - Sem Bandô","1","155","155","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB55","Persiana Rolô - Branco - Poliester - 100% BlackOut - Sem Bandô","LB55160100","160cm","100cm","Branco | #FFFFFF","9999999","436.07","Persiana Rolô - Branco - Poliester - 100% BlackOut - Sem Bandô","1","160","160","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB55","Persiana Rolô - Branco - Poliester - 100% BlackOut - Sem Bandô","LB55165100","165cm","100cm","Branco | #FFFFFF","9999999","445.09","Persiana Rolô - Branco - Poliester - 100% BlackOut - Sem Bandô","1","165","165","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB55","Persiana Rolô - Branco - Poliester - 100% BlackOut - Sem Bandô","LB55170100","170cm","100cm","Branco | #FFFFFF","9999999","454.10","Persiana Rolô - Branco - Poliester - 100% BlackOut - Sem Bandô","1","170","170","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB55","Persiana Rolô - Branco - Poliester - 100% BlackOut - Sem Bandô","LB55175100","175cm","100cm","Branco | #FFFFFF","9999999","463.12","Persiana Rolô - Branco - Poliester - 100% BlackOut - Sem Bandô","1","175","175","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB55","Persiana Rolô - Branco - Poliester - 100% BlackOut - Sem Bandô","LB55180100","180cm","100cm","Branco | #FFFFFF","9999999","472.14","Persiana Rolô - Branco - Poliester - 100% BlackOut - Sem Bandô","1","180","180","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB55","Persiana Rolô - Branco - Poliester - 100% BlackOut - Sem Bandô","LB55185100","185cm","100cm","Branco | #FFFFFF","9999999","481.15","Persiana Rolô - Branco - Poliester - 100% BlackOut - Sem Bandô","1","185","185","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB55","Persiana Rolô - Branco - Poliester - 100% BlackOut - Sem Bandô","LB55190100","190cm","100cm","Branco | #FFFFFF","9999999","490.17","Persiana Rolô - Branco - Poliester - 100% BlackOut - Sem Bandô","1","190","190","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"LB55","Persiana Rolô - Branco - Poliester - 100% BlackOut - Sem Bandô","LB55195100","195cm","100cm","Branco | #FFFFFF","9999999","499.19","Persiana Rolô - Branco - Poliester - 100% BlackOut - Sem Bandô","1","195","195","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
