"referência","nome","sku","atributo 1","atributo 2","atributo 3","quantidade","preço","variante","peso","largura","comprimento","altura","tags","código de barras"
"PP03","Rolô - Cinza - Pinpoint - Sem Bandô","PP03150100","150cm","100cm","Cinza | #CCCCCC","9999999","418.04","Rolô - Cinza - Pinpoint - Sem Bandô","1","150","150","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PP03","Rolô - Cinza - Pinpoint - Sem Bandô","PP03155100","155cm","100cm","Cinza | #CCCCCC","9999999","427.05","Rolô - Cinza - Pinpoint - Sem Bandô","1","155","155","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PP03","Rolô - Cinza - Pinpoint - Sem Bandô","PP03160100","160cm","100cm","Cinza | #CCCCCC","9999999","436.07","Rolô - Cinza - Pinpoint - Sem Bandô","1","160","160","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PP03","Rolô - Cinza - Pinpoint - Sem Bandô","PP03165100","165cm","100cm","Cinza | #CCCCCC","9999999","445.09","Rolô - Cinza - Pinpoint - Sem Bandô","1","165","165","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PP03","Rolô - Cinza - Pinpoint - Sem Bandô","PP03170100","170cm","100cm","Cinza | #CCCCCC","9999999","454.10","Rolô - Cinza - Pinpoint - Sem Bandô","1","170","170","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PP03","Rolô - Cinza - Pinpoint - Sem Bandô","PP03175100","175cm","100cm","Cinza | #CCCCCC","9999999","463.12","Rolô - Cinza - Pinpoint - Sem Bandô","1","175","175","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PP03","Rolô - Cinza - Pinpoint - Sem Bandô","PP03180100","180cm","100cm","Cinza | #CCCCCC","9999999","472.14","Rolô - Cinza - Pinpoint - Sem Bandô","1","180","180","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PP03","Rolô - Cinza - Pinpoint - Sem Bandô","PP03185100","185cm","100cm","Cinza | #CCCCCC","9999999","481.15","Rolô - Cinza - Pinpoint - Sem Bandô","1","185","185","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PP03","Rolô - Cinza - Pinpoint - Sem Bandô","PP03190100","190cm","100cm","Cinza | #CCCCCC","9999999","490.17","Rolô - Cinza - Pinpoint - Sem Bandô","1","190","190","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PP03","Rolô - Cinza - Pinpoint - Sem Bandô","PP03195100","195cm","100cm","Cinza | #CCCCCC","9999999","499.19","Rolô - Cinza - Pinpoint - Sem Bandô","1","195","195","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PP03","Rolô - Cinza - Pinpoint - Sem Bandô","PP03200100","200cm","100cm","Cinza | #CCCCCC","9999999","508.20","Rolô - Cinza - Pinpoint - Sem Bandô","1","200","200","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PP03","Rolô - Cinza - Pinpoint - Sem Bandô","PP03205100","205cm","100cm","Cinza | #CCCCCC","9999999","517.22","Rolô - Cinza - Pinpoint - Sem Bandô","1","205","205","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PP03","Rolô - Cinza - Pinpoint - Sem Bandô","PP03210100","210cm","100cm","Cinza | #CCCCCC","9999999","526.23","Rolô - Cinza - Pinpoint - Sem Bandô","1","210","210","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PP03","Rolô - Cinza - Pinpoint - Sem Bandô","PP03215100","215cm","100cm","Cinza | #CCCCCC","9999999","535.25","Rolô - Cinza - Pinpoint - Sem Bandô","1","215","215","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PP03","Rolô - Cinza - Pinpoint - Sem Bandô","PP03220100","220cm","100cm","Cinza | #CCCCCC","9999999","544.27","Rolô - Cinza - Pinpoint - Sem Bandô","1","220","220","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PP03","Rolô - Cinza - Pinpoint - Sem Bandô","PP03225100","225cm","100cm","Cinza | #CCCCCC","9999999","553.28","Rolô - Cinza - Pinpoint - Sem Bandô","1","225","225","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PP03","Rolô - Cinza - Pinpoint - Sem Bandô","PP03230100","230cm","100cm","Cinza | #CCCCCC","9999999","562.30","Rolô - Cinza - Pinpoint - Sem Bandô","1","230","230","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PP03","Rolô - Cinza - Pinpoint - Sem Bandô","PP03235100","235cm","100cm","Cinza | #CCCCCC","9999999","571.32","Rolô - Cinza - Pinpoint - Sem Bandô","1","235","235","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PP03","Rolô - Cinza - Pinpoint - Sem Bandô","PP03240100","240cm","100cm","Cinza | #CCCCCC","9999999","580.33","Rolô - Cinza - Pinpoint - Sem Bandô","1","240","240","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PP03","Rolô - Cinza - Pinpoint - Sem Bandô","PP03245100","245cm","100cm","Cinza | #CCCCCC","9999999","589.35","Rolô - Cinza - Pinpoint - Sem Bandô","1","245","245","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PP03","Rolô - Cinza - Pinpoint - Sem Bandô","PP03250100","250cm","100cm","Cinza | #CCCCCC","9999999","598.37","Rolô - Cinza - Pinpoint - Sem Bandô","1","250","250","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PP03","Rolô - Cinza - Pinpoint - Sem Bandô","PP03255100","255cm","100cm","Cinza | #CCCCCC","9999999","607.38","Rolô - Cinza - Pinpoint - Sem Bandô","1","255","255","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PP03","Rolô - Cinza - Pinpoint - Sem Bandô","PP03260100","260cm","100cm","Cinza | #CCCCCC","9999999","616.40","Rolô - Cinza - Pinpoint - Sem Bandô","1","260","260","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"PP03","Rolô - Cinza - Pinpoint - Sem Bandô","PP03265100","265cm","100cm","Cinza | #CCCCCC","9999999","625.41","Rolô - Cinza - Pinpoint - Sem Bandô","1","265","265","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
