"referência","nome","sku","atributo 1","atributo 2","atributo 3","quantidade","preço","variante","peso","largura","comprimento","altura","tags","código de barras"
"TSCT93","Tela Solar 1% - Cinza","TSCT93150100","150cm","100cm","Cinza | #CCCCCC","9999999","442.63","Tela Solar 1% - Cinza","1","150","150","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TSCT93","Tela Solar 1% - Cinza","TSCT93155100","155cm","100cm","Cinza | #CCCCCC","9999999","452.46","Tela Solar 1% - Cinza","1","155","155","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TSCT93","Tela Solar 1% - Cinza","TSCT93160100","160cm","100cm","Cinza | #CCCCCC","9999999","462.30","Tela Solar 1% - Cinza","1","160","160","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TSCT93","Tela Solar 1% - Cinza","TSCT93165100","165cm","100cm","Cinza | #CCCCCC","9999999","472.14","Tela Solar 1% - Cinza","1","165","165","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TSCT93","Tela Solar 1% - Cinza","TSCT93170100","170cm","100cm","Cinza | #CCCCCC","9999999","481.97","Tela Solar 1% - Cinza","1","170","170","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TSCT93","Tela Solar 1% - Cinza","TSCT93175100","175cm","100cm","Cinza | #CCCCCC","9999999","491.81","Tela Solar 1% - Cinza","1","175","175","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TSCT93","Tela Solar 1% - Cinza","TSCT93180100","180cm","100cm","Cinza | #CCCCCC","9999999","501.64","Tela Solar 1% - Cinza","1","180","180","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TSCT93","Tela Solar 1% - Cinza","TSCT93185100","185cm","100cm","Cinza | #CCCCCC","9999999","511.48","Tela Solar 1% - Cinza","1","185","185","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TSCT93","Tela Solar 1% - Cinza","TSCT93190100","190cm","100cm","Cinza | #CCCCCC","9999999","521.32","Tela Solar 1% - Cinza","1","190","190","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TSCT93","Tela Solar 1% - Cinza","TSCT93195100","195cm","100cm","Cinza | #CCCCCC","9999999","531.15","Tela Solar 1% - Cinza","1","195","195","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
