"referência","nome","sku","atributo 1","atributo 2","atributo 3","quantidade","preço","variante","peso","largura","comprimento","altura","tags","código de barras"
"TSBR63","Tela Solar 5% - Preto","TSBR63150100","150cm","100cm","Preto | #000000","9999999","442.63","Tela Solar 5% - Preto","1","150","150","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TSBR63","Tela Solar 5% - Preto","TSBR63155100","155cm","100cm","Preto | #000000","9999999","452.46","Tela Solar 5% - Preto","1","155","155","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TSBR63","Tela Solar 5% - Preto","TSBR63160100","160cm","100cm","Preto | #000000","9999999","462.30","Tela Solar 5% - Preto","1","160","160","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TSBR63","Tela Solar 5% - Preto","TSBR63165100","165cm","100cm","Preto | #000000","9999999","472.14","Tela Solar 5% - Preto","1","165","165","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TSBR63","Tela Solar 5% - Preto","TSBR63170100","170cm","100cm","Preto | #000000","9999999","481.97","Tela Solar 5% - Preto","1","170","170","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TSBR63","Tela Solar 5% - Preto","TSBR63175100","175cm","100cm","Preto | #000000","9999999","491.81","Tela Solar 5% - Preto","1","175","175","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TSBR63","Tela Solar 5% - Preto","TSBR63180100","180cm","100cm","Preto | #000000","9999999","501.64","Tela Solar 5% - Preto","1","180","180","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TSBR63","Tela Solar 5% - Preto","TSBR63185100","185cm","100cm","Preto | #000000","9999999","511.48","Tela Solar 5% - Preto","1","185","185","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TSBR63","Tela Solar 5% - Preto","TSBR63190100","190cm","100cm","Preto | #000000","9999999","521.32","Tela Solar 5% - Preto","1","190","190","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TSBR63","Tela Solar 5% - Preto","TSBR63195100","195cm","100cm","Preto | #000000","9999999","531.15","Tela Solar 5% - Preto","1","195","195","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TSBR63","Tela Solar 5% - Preto","TSBR63200100","200cm","100cm","Preto | #000000","9999999","540.99","Tela Solar 5% - Preto","1","200","200","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TSBR63","Tela Solar 5% - Preto","TSBR63205100","205cm","100cm","Preto | #000000","9999999","550.82","Tela Solar 5% - Preto","1","205","205","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TSBR63","Tela Solar 5% - Preto","TSBR63210100","210cm","100cm","Preto | #000000","9999999","560.66","Tela Solar 5% - Preto","1","210","210","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TSBR63","Tela Solar 5% - Preto","TSBR63215100","215cm","100cm","Preto | #000000","9999999","570.50","Tela Solar 5% - Preto","1","215","215","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TSBR63","Tela Solar 5% - Preto","TSBR63220100","220cm","100cm","Preto | #000000","9999999","580.33","Tela Solar 5% - Preto","1","220","220","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TSBR63","Tela Solar 5% - Preto","TSBR63225100","225cm","100cm","Preto | #000000","9999999","590.17","Tela Solar 5% - Preto","1","225","225","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TSBR63","Tela Solar 5% - Preto","TSBR63230100","230cm","100cm","Preto | #000000","9999999","600.01","Tela Solar 5% - Preto","1","230","230","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TSBR63","Tela Solar 5% - Preto","TSBR63235100","235cm","100cm","Preto | #000000","9999999","609.84","Tela Solar 5% - Preto","1","235","235","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TSBR63","Tela Solar 5% - Preto","TSBR63240100","240cm","100cm","Preto | #000000","9999999","619.68","Tela Solar 5% - Preto","1","240","240","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TSBR63","Tela Solar 5% - Preto","TSBR63245100","245cm","100cm","Preto | #000000","9999999","629.51","Tela Solar 5% - Preto","1","245","245","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TSBR63","Tela Solar 5% - Preto","TSBR63250100","250cm","100cm","Preto | #000000","9999999","639.35","Tela Solar 5% - Preto","1","250","250","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TSBR63","Tela Solar 5% - Preto","TSBR63255100","255cm","100cm","Preto | #000000","9999999","649.19","Tela Solar 5% - Preto","1","255","255","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TSBR63","Tela Solar 5% - Preto","TSBR63260100","260cm","100cm","Preto | #000000","9999999","659.02","Tela Solar 5% - Preto","1","260","260","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TSBR63","Tela Solar 5% - Preto","TSBR63265100","265cm","100cm","Preto | #000000","9999999","668.86","Tela Solar 5% - Preto","1","265","265","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TSBR63","Tela Solar 5% - Preto","TSBR63270100","270cm","100cm","Preto | #000000","9999999","678.69","Tela Solar 5% - Preto","1","270","270","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
