"referência","nome","sku","atributo 1","atributo 2","atributo 3","quantidade","preço","variante","peso","largura","comprimento","altura","tags","código de barras"
"Painel - Branco","Painel","PNLB56150150","150cm","150cm","Branco | #FFFFFF","99999","553.28","Cor: Branco - Largura: 150cm - Altura: 150cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150151","150cm","151cm","Branco | #FFFFFF","99999","555.99","Cor: Branco - Largura: 150cm - Altura: 151cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150152","150cm","152cm","Branco | #FFFFFF","99999","558.69","Cor: Branco - Largura: 150cm - Altura: 152cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150153","150cm","153cm","Branco | #FFFFFF","99999","561.40","Cor: Branco - Largura: 150cm - Altura: 153cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150154","150cm","154cm","Branco | #FFFFFF","99999","564.10","Cor: Branco - Largura: 150cm - Altura: 154cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150155","150cm","155cm","Branco | #FFFFFF","99999","566.81","Cor: Branco - Largura: 150cm - Altura: 155cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150156","150cm","156cm","Branco | #FFFFFF","99999","569.51","Cor: Branco - Largura: 150cm - Altura: 156cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150157","150cm","157cm","Branco | #FFFFFF","99999","572.22","Cor: Branco - Largura: 150cm - Altura: 157cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150158","150cm","158cm","Branco | #FFFFFF","99999","574.92","Cor: Branco - Largura: 150cm - Altura: 158cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150159","150cm","159cm","Branco | #FFFFFF","99999","577.63","Cor: Branco - Largura: 150cm - Altura: 159cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150160","150cm","160cm","Branco | #FFFFFF","99999","580.33","Cor: Branco - Largura: 150cm - Altura: 160cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150161","150cm","161cm","Branco | #FFFFFF","99999","583.04","Cor: Branco - Largura: 150cm - Altura: 161cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150162","150cm","162cm","Branco | #FFFFFF","99999","585.74","Cor: Branco - Largura: 150cm - Altura: 162cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150163","150cm","163cm","Branco | #FFFFFF","99999","588.45","Cor: Branco - Largura: 150cm - Altura: 163cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150164","150cm","164cm","Branco | #FFFFFF","99999","591.15","Cor: Branco - Largura: 150cm - Altura: 164cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150165","150cm","165cm","Branco | #FFFFFF","99999","593.86","Cor: Branco - Largura: 150cm - Altura: 165cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150166","150cm","166cm","Branco | #FFFFFF","99999","596.56","Cor: Branco - Largura: 150cm - Altura: 166cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150167","150cm","167cm","Branco | #FFFFFF","99999","599.27","Cor: Branco - Largura: 150cm - Altura: 167cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150168","150cm","168cm","Branco | #FFFFFF","99999","601.97","Cor: Branco - Largura: 150cm - Altura: 168cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150169","150cm","169cm","Branco | #FFFFFF","99999","604.68","Cor: Branco - Largura: 150cm - Altura: 169cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150170","150cm","170cm","Branco | #FFFFFF","99999","607.38","Cor: Branco - Largura: 150cm - Altura: 170cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150171","150cm","171cm","Branco | #FFFFFF","99999","610.09","Cor: Branco - Largura: 150cm - Altura: 171cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150172","150cm","172cm","Branco | #FFFFFF","99999","612.79","Cor: Branco - Largura: 150cm - Altura: 172cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150173","150cm","173cm","Branco | #FFFFFF","99999","615.50","Cor: Branco - Largura: 150cm - Altura: 173cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150174","150cm","174cm","Branco | #FFFFFF","99999","618.20","Cor: Branco - Largura: 150cm - Altura: 174cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150175","150cm","175cm","Branco | #FFFFFF","99999","620.91","Cor: Branco - Largura: 150cm - Altura: 175cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150176","150cm","176cm","Branco | #FFFFFF","99999","623.61","Cor: Branco - Largura: 150cm - Altura: 176cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150177","150cm","177cm","Branco | #FFFFFF","99999","626.32","Cor: Branco - Largura: 150cm - Altura: 177cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150178","150cm","178cm","Branco | #FFFFFF","99999","629.02","Cor: Branco - Largura: 150cm - Altura: 178cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150179","150cm","179cm","Branco | #FFFFFF","99999","631.73","Cor: Branco - Largura: 150cm - Altura: 179cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150180","150cm","180cm","Branco | #FFFFFF","99999","634.43","Cor: Branco - Largura: 150cm - Altura: 180cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150181","150cm","181cm","Branco | #FFFFFF","99999","637.14","Cor: Branco - Largura: 150cm - Altura: 181cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150182","150cm","182cm","Branco | #FFFFFF","99999","639.84","Cor: Branco - Largura: 150cm - Altura: 182cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150183","150cm","183cm","Branco | #FFFFFF","99999","642.55","Cor: Branco - Largura: 150cm - Altura: 183cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150184","150cm","184cm","Branco | #FFFFFF","99999","645.25","Cor: Branco - Largura: 150cm - Altura: 184cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150185","150cm","185cm","Branco | #FFFFFF","99999","647.96","Cor: Branco - Largura: 150cm - Altura: 185cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150186","150cm","186cm","Branco | #FFFFFF","99999","650.66","Cor: Branco - Largura: 150cm - Altura: 186cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150187","150cm","187cm","Branco | #FFFFFF","99999","653.37","Cor: Branco - Largura: 150cm - Altura: 187cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150188","150cm","188cm","Branco | #FFFFFF","99999","656.07","Cor: Branco - Largura: 150cm - Altura: 188cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150189","150cm","189cm","Branco | #FFFFFF","99999","658.78","Cor: Branco - Largura: 150cm - Altura: 189cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150190","150cm","190cm","Branco | #FFFFFF","99999","661.48","Cor: Branco - Largura: 150cm - Altura: 190cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150191","150cm","191cm","Branco | #FFFFFF","99999","664.19","Cor: Branco - Largura: 150cm - Altura: 191cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150192","150cm","192cm","Branco | #FFFFFF","99999","666.89","Cor: Branco - Largura: 150cm - Altura: 192cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150193","150cm","193cm","Branco | #FFFFFF","99999","669.60","Cor: Branco - Largura: 150cm - Altura: 193cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150194","150cm","194cm","Branco | #FFFFFF","99999","672.30","Cor: Branco - Largura: 150cm - Altura: 194cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150195","150cm","195cm","Branco | #FFFFFF","99999","675.01","Cor: Branco - Largura: 150cm - Altura: 195cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150196","150cm","196cm","Branco | #FFFFFF","99999","677.71","Cor: Branco - Largura: 150cm - Altura: 196cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150197","150cm","197cm","Branco | #FFFFFF","99999","680.41","Cor: Branco - Largura: 150cm - Altura: 197cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150198","150cm","198cm","Branco | #FFFFFF","99999","683.12","Cor: Branco - Largura: 150cm - Altura: 198cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150199","150cm","199cm","Branco | #FFFFFF","99999","685.82","Cor: Branco - Largura: 150cm - Altura: 199cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150200","150cm","200cm","Branco | #FFFFFF","99999","688.53","Cor: Branco - Largura: 150cm - Altura: 200cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150201","150cm","201cm","Branco | #FFFFFF","99999","691.23","Cor: Branco - Largura: 150cm - Altura: 201cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150202","150cm","202cm","Branco | #FFFFFF","99999","693.94","Cor: Branco - Largura: 150cm - Altura: 202cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150203","150cm","203cm","Branco | #FFFFFF","99999","696.64","Cor: Branco - Largura: 150cm - Altura: 203cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150204","150cm","204cm","Branco | #FFFFFF","99999","699.35","Cor: Branco - Largura: 150cm - Altura: 204cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150205","150cm","205cm","Branco | #FFFFFF","99999","702.05","Cor: Branco - Largura: 150cm - Altura: 205cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150206","150cm","206cm","Branco | #FFFFFF","99999","704.76","Cor: Branco - Largura: 150cm - Altura: 206cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150207","150cm","207cm","Branco | #FFFFFF","99999","707.46","Cor: Branco - Largura: 150cm - Altura: 207cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150208","150cm","208cm","Branco | #FFFFFF","99999","710.17","Cor: Branco - Largura: 150cm - Altura: 208cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150209","150cm","209cm","Branco | #FFFFFF","99999","712.87","Cor: Branco - Largura: 150cm - Altura: 209cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150210","150cm","210cm","Branco | #FFFFFF","99999","715.58","Cor: Branco - Largura: 150cm - Altura: 210cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150211","150cm","211cm","Branco | #FFFFFF","99999","718.28","Cor: Branco - Largura: 150cm - Altura: 211cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150212","150cm","212cm","Branco | #FFFFFF","99999","720.99","Cor: Branco - Largura: 150cm - Altura: 212cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150213","150cm","213cm","Branco | #FFFFFF","99999","723.69","Cor: Branco - Largura: 150cm - Altura: 213cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150214","150cm","214cm","Branco | #FFFFFF","99999","726.40","Cor: Branco - Largura: 150cm - Altura: 214cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150215","150cm","215cm","Branco | #FFFFFF","99999","729.10","Cor: Branco - Largura: 150cm - Altura: 215cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150216","150cm","216cm","Branco | #FFFFFF","99999","731.81","Cor: Branco - Largura: 150cm - Altura: 216cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150217","150cm","217cm","Branco | #FFFFFF","99999","734.51","Cor: Branco - Largura: 150cm - Altura: 217cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150218","150cm","218cm","Branco | #FFFFFF","99999","737.22","Cor: Branco - Largura: 150cm - Altura: 218cm","1","10","150","10","",""
"Painel - Branco","Painel","PNLB56150219","150cm","219cm","Branco | #FFFFFF","99999","739.92","Cor: Branco - Largura: 150cm - Altura: 219cm","1","10","150","10","",""
