"referência","nome","sku","atributo 1","atributo 2","atributo 3","quantidade","preço","variante","peso","largura","comprimento","altura","tags","código de barras"
"TST111","Teste123","TST111100100","100cm","100cm","Seila | #f5f6f7","9999999","221.32","Teste123","1","100","100","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TST111","Teste123","TST111105100","105cm","100cm","Seila | #f5f6f7","9999999","222.14","Teste123","1","105","105","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TST111","Teste123","TST111110100","110cm","100cm","Seila | #f5f6f7","9999999","222.96","Teste123","1","110","110","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TST111","Teste123","TST111115100","115cm","100cm","Seila | #f5f6f7","9999999","223.78","Teste123","1","115","115","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TST111","Teste123","TST111120100","120cm","100cm","Seila | #f5f6f7","9999999","224.60","Teste123","1","120","120","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TST111","Teste123","TST111125100","125cm","100cm","Seila | #f5f6f7","9999999","225.41","Teste123","1","125","125","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TST111","Teste123","TST111130100","130cm","100cm","Seila | #f5f6f7","9999999","226.23","Teste123","1","130","130","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TST111","Teste123","TST111135100","135cm","100cm","Seila | #f5f6f7","9999999","227.05","Teste123","1","135","135","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TST111","Teste123","TST111140100","140cm","100cm","Seila | #f5f6f7","9999999","227.87","Teste123","1","140","140","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TST111","Teste123","TST111145100","145cm","100cm","Seila | #f5f6f7","9999999","228.69","Teste123","1","145","145","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TST111","Teste123","TST111150100","150cm","100cm","Seila | #f5f6f7","9999999","229.51","Teste123","1","150","150","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TST111","Teste123","TST111155100","155cm","100cm","Seila | #f5f6f7","9999999","231.15","Teste123","1","155","155","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TST111","Teste123","TST111160100","160cm","100cm","Seila | #f5f6f7","9999999","232.79","Teste123","1","160","160","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TST111","Teste123","TST111165100","165cm","100cm","Seila | #f5f6f7","9999999","234.43","Teste123","1","165","165","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TST111","Teste123","TST111170100","170cm","100cm","Seila | #f5f6f7","9999999","236.07","Teste123","1","170","170","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TST111","Teste123","TST111175100","175cm","100cm","Seila | #f5f6f7","9999999","237.71","Teste123","1","175","175","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TST111","Teste123","TST111180100","180cm","100cm","Seila | #f5f6f7","9999999","239.35","Teste123","1","180","180","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TST111","Teste123","TST111185100","185cm","100cm","Seila | #f5f6f7","9999999","240.99","Teste123","1","185","185","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TST111","Teste123","TST111190100","190cm","100cm","Seila | #f5f6f7","9999999","242.63","Teste123","1","190","190","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TST111","Teste123","TST111195100","195cm","100cm","Seila | #f5f6f7","9999999","244.27","Teste123","1","195","195","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TST111","Teste123","TST111200100","200cm","100cm","Seila | #f5f6f7","9999999","245.91","Teste123","1","200","200","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TST111","Teste123","TST111205100","205cm","100cm","Seila | #f5f6f7","9999999","247.55","Teste123","1","205","205","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TST111","Teste123","TST111210100","210cm","100cm","Seila | #f5f6f7","9999999","249.19","Teste123","1","210","210","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TST111","Teste123","TST111215100","215cm","100cm","Seila | #f5f6f7","9999999","250.82","Teste123","1","215","215","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TST111","Teste123","TST111220100","220cm","100cm","Seila | #f5f6f7","9999999","252.46","Teste123","1","220","220","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TST111","Teste123","TST111225100","225cm","100cm","Seila | #f5f6f7","9999999","254.10","Teste123","1","225","225","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TST111","Teste123","TST111230100","230cm","100cm","Seila | #f5f6f7","9999999","255.74","Teste123","1","230","230","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TST111","Teste123","TST111235100","235cm","100cm","Seila | #f5f6f7","9999999","257.38","Teste123","1","235","235","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TST111","Teste123","TST111240100","240cm","100cm","Seila | #f5f6f7","9999999","259.02","Teste123","1","240","240","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TST111","Teste123","TST111245100","245cm","100cm","Seila | #f5f6f7","9999999","260.66","Teste123","1","245","245","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TST111","Teste123","TST111250100","250cm","100cm","Seila | #f5f6f7","9999999","262.30","Teste123","1","250","250","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TST111","Teste123","TST111255100","255cm","100cm","Seila | #f5f6f7","9999999","263.94","Teste123","1","255","255","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TST111","Teste123","TST111260100","260cm","100cm","Seila | #f5f6f7","9999999","265.58","Teste123","1","260","260","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TST111","Teste123","TST111265100","265cm","100cm","Seila | #f5f6f7","9999999","267.22","Teste123","1","265","265","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TST111","Teste123","TST111270100","270cm","100cm","Seila | #f5f6f7","9999999","268.86","Teste123","1","270","270","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
"TST111","Teste123","TST111275100","275cm","100cm","Seila | #f5f6f7","9999999","270.50","Teste123","1","275","275","100","personalizacao-cordinha, personalizacao_lado_corda, personalizacao-largura, personalizacao-altura, personalizacao",""
