"referência","nome","sku","atributo 1","atributo 2","atributo 3","quantidade","preço","variante","peso","largura","comprimento","altura","tags","código de barras"
"bdazul","bando - azul","bdazul60","60cm","10cm","azul | #AAAZUL","9999999","120.00","Cor: azul - Largura: 60cm - Altura: 10cm","1","60","60","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"bdazul","bando - azul","bdazul65","65cm","10cm","azul | #AAAZUL","9999999","120.00","Cor: azul - Largura: 65cm - Altura: 10cm","1","65","65","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"bdazul","bando - azul","bdazul70","70cm","10cm","azul | #AAAZUL","9999999","120.00","Cor: azul - Largura: 70cm - Altura: 10cm","1","70","70","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"bdazul","bando - azul","bdazul75","75cm","10cm","azul | #AAAZUL","9999999","120.00","Cor: azul - Largura: 75cm - Altura: 10cm","1","75","75","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"bdazul","bando - azul","bdazul80","80cm","10cm","azul | #AAAZUL","9999999","120.00","Cor: azul - Largura: 80cm - Altura: 10cm","1","80","80","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"bdazul","bando - azul","bdazul85","85cm","10cm","azul | #AAAZUL","9999999","120.00","Cor: azul - Largura: 85cm - Altura: 10cm","1","85","85","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"bdazul","bando - azul","bdazul90","90cm","10cm","azul | #AAAZUL","9999999","120.00","Cor: azul - Largura: 90cm - Altura: 10cm","1","90","90","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"bdazul","bando - azul","bdazul95","95cm","10cm","azul | #AAAZUL","9999999","120.00","Cor: azul - Largura: 95cm - Altura: 10cm","1","95","95","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"bdazul","bando - azul","bdazul100","100cm","10cm","azul | #AAAZUL","9999999","120.00","Cor: azul - Largura: 100cm - Altura: 10cm","1","100","100","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
"bdazul","bando - azul","bdazul105","105cm","10cm","azul | #AAAZUL","9999999","126.00","Cor: azul - Largura: 105cm - Altura: 10cm","1","105","105","100"," personalizacao-largura, personalizacao-altura, personalizacao, range-altura-bando, range-largura-bando",""
