"referência","nome","sku","atributo 1","atributo 2","atributo 3","quantidade","preço","variante","peso","largura","comprimento","altura","tags","código de barras"
"teste - teste","teste","teste140140","140cm","140cm","teste | teste","2","500.99","Cor: teste - Largura: 140cm - Altura: 140cm","1","10","140","10","",""
"teste - teste","teste","teste140145","140cm","145cm","teste | teste","2","513.61","Cor: teste - Largura: 140cm - Altura: 145cm","1","10","140","10","",""
"teste - teste","teste","teste140150","140cm","150cm","teste | teste","2","526.23","Cor: teste - Largura: 140cm - Altura: 150cm","1","10","140","10","",""
"teste - teste","teste","teste140155","140cm","155cm","teste | teste","2","538.86","Cor: teste - Largura: 140cm - Altura: 155cm","1","10","140","10","",""
"teste - teste","teste","teste140160","140cm","160cm","teste | teste","2","551.48","Cor: teste - Largura: 140cm - Altura: 160cm","1","10","140","10","",""
"teste - teste","teste","teste140165","140cm","165cm","teste | teste","2","564.10","Cor: teste - Largura: 140cm - Altura: 165cm","1","10","140","10","",""
"teste - teste","teste","teste140170","140cm","170cm","teste | teste","2","576.73","Cor: teste - Largura: 140cm - Altura: 170cm","1","10","140","10","",""
"teste - teste","teste","teste140175","140cm","175cm","teste | teste","2","589.35","Cor: teste - Largura: 140cm - Altura: 175cm","1","10","140","10","",""
"teste - teste","teste","teste140180","140cm","180cm","teste | teste","2","601.97","Cor: teste - Largura: 140cm - Altura: 180cm","1","10","140","10","",""
"teste - teste","teste","teste140185","140cm","185cm","teste | teste","2","614.60","Cor: teste - Largura: 140cm - Altura: 185cm","1","10","140","10","",""
"teste - teste","teste","teste140190","140cm","190cm","teste | teste","2","627.22","Cor: teste - Largura: 140cm - Altura: 190cm","1","10","140","10","",""
"teste - teste","teste","teste140195","140cm","195cm","teste | teste","2","639.84","Cor: teste - Largura: 140cm - Altura: 195cm","1","10","140","10","",""
"teste - teste","teste","teste140200","140cm","200cm","teste | teste","2","652.46","Cor: teste - Largura: 140cm - Altura: 200cm","1","10","140","10","",""
